id,orden,x,y,chm_m,estrato,peso_m2,bloque
p0029,80,528182.5,4655922.5,2.109999895095825,"[2,5.5)",1687923.28,PNOA-2024-GAL-528-4656-H29-NPC01
p0124,81,533212.5,4663654.5,22.3799991607666,"[15,35)",3044289.33,PNOA-2024-GAL-533-4664-H29-NPC01
p0112,82,529276.5,4667644.5,11.569999694824219,"[8,15)",1813156.63,PNOA-2024-GAL-529-4668-H29-NPC01
p0106,83,546204.5,4663098.5,13.449999809265137,"[8,15)",1813156.63,PNOA-2024-GAL-546-4664-H29-NPC01
p0040,84,530372.5,4661563.5,4.409999847412109,"[2,5.5)",1687923.28,PNOA-2024-GAL-530-4662-H29-NPC01
p0142,85,529149.5,4662250.5,37.41999816894531,"[35,inf)",272141.56,PNOA-2024-GAL-529-4663-H29-NPC01
p0132,86,529612.5,4669291.5,24.549999237060547,"[15,35)",3044289.33,PNOA-2024-GAL-529-4670-H29-NPC01
p0060,87,529124.5,4668188.5,6.139999866485596,"[5.5,8)",577329.5,PNOA-2024-GAL-529-4669-H29-NPC01
p0028,88,529978.5,4720190.5,2.359999895095825,"[2,5.5)",1687923.28,PNOA-2024-GAL-529-4721-H29-NPC01
p0062,89,551059.5,4699128.5,5.550000190734863,"[5.5,8)",577329.5,PNOA-2024-GAL-551-4700-H29-NPC01
p0126,90,533932.5,4716386.5,21.719999313354492,"[15,35)",3044289.33,PNOA-2024-GAL-533-4717-H29-NPC01
p0037,91,528381.5,4681320.5,3.4700000286102295,"[2,5.5)",1687923.28,PNOA-2024-GAL-528-4682-H29-NPC01
p0113,92,546608.5,4662458.5,14.380000114440918,"[8,15)",1813156.63,PNOA-2024-GAL-546-4663-H29-NPC01
p0018,93,518028.5,4705137.5,1.399999976158142,"[0,2)",8233219.46,PNOA-2024-GAL-518-4706-H29-NPC01
p0002,94,516760.5,4705425.5,0.05000000074505806,"[0,2)",8233219.46,PNOA-2024-GAL-516-4706-H29-NPC01
p0054,95,513151.5,4700273.5,2.9700000286102295,"[2,5.5)",1687923.28,PNOA-2024-GAL-513-4701-H29-NPC01
p0141,96,533691.5,4719596.5,39.22999954223633,"[35,inf)",272141.56,PNOA-2024-GAL-533-4720-H29-NPC01
p0059,97,519151.5,4666324.5,5.170000076293945,"[2,5.5)",1687923.28,PNOA-2024-GAL-519-4667-H29-NPC01
p0096,98,525304.5,4684075.5,12.390000343322754,"[8,15)",1813156.63,PNOA-2024-GAL-525-4685-H29-NPC01
p0108,99,528778.5,4730044.5,8.430000305175781,"[8,15)",1813156.63,PNOA-2024-GAL-528-4731-H29-NPC01
p0017,100,528028.5,4727388.5,0.07999999821186066,"[0,2)",8233219.46,PNOA-2024-GAL-528-4728-H29-NPC01
p0015,101,536876.5,4721350.5,0.4099999964237213,"[0,2)",8233219.46,PNOA-2024-GAL-536-4722-H29-NPC01
p0012,102,556277.5,4671183.5,0.3499999940395355,"[0,2)",8233219.46,PNOA-2024-GAL-556-4672-H29-NPC01
p0117,103,540426.5,4693333.5,12.09000015258789,"[8,15)",1813156.63,PNOA-2024-GAL-540-4694-H29-NPC01
p0050,104,518746.5,4714238.5,2.619999885559082,"[2,5.5)",1687923.28,PNOA-2024-GAL-518-4715-H29-NPC01
p0051,105,517654.5,4661489.5,4.349999904632568,"[2,5.5)",1687923.28,PNOA-2024-GAL-517-4662-H29-NPC01
p0001,106,563518.5,4724678.5,0.699999988079071,"[0,2)",8233219.46,PNOA-2024-GAL-563-4725-H29-NPC01
p0147,107,530703.5,4677477.5,45.040000915527344,"[35,inf)",272141.56,PNOA-2024-GAL-530-4678-H29-NPC01
p0052,108,528789.5,4716116.5,2.4600000381469727,"[2,5.5)",1687923.28,PNOA-2024-GAL-528-4717-H29-NPC01
p0094,109,522758.5,4724351.5,6.619999885559082,"[5.5,8)",577329.5,PNOA-2024-GAL-522-4725-H29-NPC01
p0023,110,573726.5,4722135.5,0.20000000298023224,"[0,2)",8233219.46,PNOA-2024-GAL-573-4723-H29-NPC01
p0061,111,515020.5,4659608.5,6.820000171661377,"[5.5,8)",577329.5,PNOA-2024-GAL-515-4660-H29-NPC01
p0081,112,527588.5,4716263.5,7.5,"[5.5,8)",577329.5,PNOA-2024-GAL-527-4717-H29-NPC01
p0019,113,527657.5,4705781.5,1.4800000190734863,"[0,2)",8233219.46,PNOA-2024-GAL-527-4706-H29-NPC01
p0042,114,515995.5,4662854.5,4.929999828338623,"[2,5.5)",1687923.28,PNOA-2024-GAL-515-4663-H29-NPC01
p0119,115,528897.5,4671764.5,13.130000114440918,"[8,15)",1813156.63,PNOA-2024-GAL-528-4672-H29-NPC01
p0058,116,557741.5,4731375.5,3.619999885559082,"[2,5.5)",1687923.28,PNOA-2024-GAL-557-4732-H29-NPC01
p0047,117,540864.5,4672684.5,2.9600000381469727,"[2,5.5)",1687923.28,PNOA-2024-GAL-540-4673-H29-NPC01
p0068,118,526564.5,4711448.5,7.940000057220459,"[5.5,8)",577329.5,PNOA-2024-GAL-526-4712-H29-NPC01
p0092,119,532896.5,4660208.5,6.130000114440918,"[5.5,8)",577329.5,PNOA-2024-GAL-532-4661-H29-NPC01
p0033,120,519657.5,4643242.5,2.0,"[2,5.5)",1687923.28,PNOA-2024-GAL-519-4644-H29-NPC01
p0078,121,519294.5,4653148.5,6.25,"[5.5,8)",577329.5,PNOA-2024-GAL-519-4654-H29-NPC01
p0021,122,517246.5,4710738.5,1.4800000190734863,"[0,2)",8233219.46,PNOA-2024-GAL-517-4711-H29-NPC01
p0090,123,572236.5,4722274.5,6.960000038146973,"[5.5,8)",577329.5,PNOA-2024-GAL-572-4723-H29-NPC01
p0095,124,533178.5,4677528.5,6.010000228881836,"[5.5,8)",577329.5,PNOA-2024-GAL-533-4678-H29-NPC01
p0045,125,550959.5,4674482.5,4.829999923706055,"[2,5.5)",1687923.28,PNOA-2024-GAL-550-4675-H29-NPC01
p0063,126,546344.5,4722208.5,7.800000190734863,"[5.5,8)",577329.5,PNOA-2024-GAL-546-4723-H29-NPC01
p0102,127,529675.5,4689691.5,13.859999656677246,"[8,15)",1813156.63,PNOA-2024-GAL-529-4690-H29-NPC01
p0046,128,520121.5,4719478.5,2.5999999046325684,"[2,5.5)",1687923.28,PNOA-2024-GAL-520-4720-H29-NPC01
p0099,129,539758.5,4673880.5,9.520000457763672,"[8,15)",1813156.63,PNOA-2024-GAL-539-4674-H29-NPC01
p0145,130,549805.5,4680936.5,35.150001525878906,"[35,inf)",272141.56,PNOA-2024-GAL-549-4681-H29-NPC01
p0148,131,551018.5,4708343.5,37.86000061035156,"[35,inf)",272141.56,PNOA-2024-GAL-551-4709-H29-NPC01
p0137,132,545286.5,4687129.5,17.790000915527344,"[15,35)",3044289.33,PNOA-2024-GAL-545-4688-H29-NPC01
p0066,133,541817.5,4662292.5,5.800000190734863,"[5.5,8)",577329.5,PNOA-2024-GAL-541-4663-H29-NPC01
p0103,134,562199.5,4727416.5,13.140000343322754,"[8,15)",1813156.63,PNOA-2024-GAL-562-4728-H29-NPC01
p0008,135,532175.5,4687015.5,0.25999999046325684,"[0,2)",8233219.46,PNOA-2024-GAL-532-4688-H29-NPC01
p0034,136,523522.5,4707860.5,2.359999895095825,"[2,5.5)",1687923.28,PNOA-2024-GAL-523-4708-H29-NPC01
p0085,137,536752.5,4682527.5,7.570000171661377,"[5.5,8)",577329.5,PNOA-2024-GAL-536-4683-H29-NPC01
p0026,138,516065.5,4699664.5,2.309999942779541,"[2,5.5)",1687923.28,PNOA-2024-GAL-516-4700-H29-NPC01
p0149,139,546919.5,4731834.5,40.65999984741211,"[35,inf)",272141.56,PNOA-2024-GAL-546-4732-H29-NPC01
p0036,140,542762.5,4719806.5,2.869999885559082,"[2,5.5)",1687923.28,PNOA-2024-GAL-542-4720-H29-NPC01
p0027,141,549360.5,4719719.5,2.0,"[2,5.5)",1687923.28,PNOA-2024-GAL-549-4720-H29-NPC01
p0080,142,545931.5,4666203.5,6.579999923706055,"[5.5,8)",577329.5,PNOA-2024-GAL-545-4667-H29-NPC01
p0118,143,513564.5,4694801.5,9.529999732971191,"[8,15)",1813156.63,PNOA-2024-GAL-513-4695-H29-NPC01
p0074,144,514158.5,4642334.5,7.510000228881836,"[5.5,8)",577329.5,PNOA-2024-GAL-514-4643-H29-NPC01
p0057,145,516843.5,4694179.5,2.2100000381469727,"[2,5.5)",1687923.28,PNOA-2024-GAL-516-4695-H29-NPC01
p0082,146,532654.5,4678125.5,7.670000076293945,"[5.5,8)",577329.5,PNOA-2024-GAL-532-4679-H29-NPC01
p0087,147,522733.5,4715977.5,6.53000020980835,"[5.5,8)",577329.5,PNOA-2024-GAL-522-4716-H29-NPC01
p0003,148,522577.5,4713649.5,0.10000000149011612,"[0,2)",8233219.46,PNOA-2024-GAL-522-4714-H29-NPC01
p0146,149,546478.5,4714141.5,35.47999954223633,"[35,inf)",272141.56,PNOA-2024-GAL-546-4715-H29-NPC01
