x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada
525499.5,4688524.5,10.92,8.13,94,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525285.5,4688929.5,10.57,7.89,113,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525435.5,4688854.5,10.47,7.58,184,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525611.5,4688829.5,10.15,8.0,163,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525522.5,4688569.5,10.59,8.1,108,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525545.5,4688791.5,11.05,10.09,17,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525557.5,4688540.5,10.92,8.18,85,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525288.5,4688942.5,10.48,7.9,48,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525576.5,4688709.5,9.72,8.03,50,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525535.5,4688584.5,9.73,7.97,29,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525794.5,4688979.5,9.31,7.61,43,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525697.5,4688810.5,9.26,7.44,42,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525882.5,4688059.5,8.74,7.39,44,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525459.5,4688842.5,8.75,7.25,51,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525518.5,4688557.5,8.05,6.95,49,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525516.5,4688542.5,8.45,6.79,35,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525563.5,4688745.5,7.99,7.03,58,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525617.5,4688843.5,8.0,6.78,46,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525538.5,4688648.5,8.71,6.79,31,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525503.5,4688825.5,7.97,6.67,41,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525705.5,4688970.5,8.11,7.37,12,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525841.5,4688981.5,7.37,6.56,52,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525846.5,4688988.5,7.11,6.53,38,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525397.5,4688879.5,7.58,6.41,19,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525892.5,4688080.5,7.17,6.72,19,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525591.5,4688714.5,8.27,6.95,13,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525858.5,4688025.5,7.35,6.43,28,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525294.5,4688908.5,7.0,6.29,15,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525900.5,4688034.5,6.89,6.3,14,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525514.5,4688518.5,6.98,6.41,10,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525564.5,4688553.5,7.13,6.9,4,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525497.5,4688542.5,7.26,6.79,6,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525571.5,4688718.5,6.9,6.13,25,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525842.5,4688116.5,6.49,6.1,21,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525889.5,4688052.5,6.56,6.09,15,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
