x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
550796.5,4669445.5,15.24,10.99,46,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.9515,0.0162,0.0323
550825.5,4669282.5,14.08,10.98,215,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.7452,0.1528,0.102
550954.5,4669324.5,14.79,10.21,146,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5956,0.1383,0.2661
550789.5,4669441.5,14.26,11.75,24,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2091,0.0146,0.7762
550520.5,4669283.5,13.99,11.77,125,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.8292,0.0079,0.1629
550497.5,4669297.5,14.36,10.99,183,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.74,0.0678,0.1922
550942.5,4669324.5,13.91,8.76,128,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,0,0.1928,0.5214,0.2858
550522.5,4669288.5,13.55,10.62,51,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.4296,0.2433,0.3271
550520.5,4669291.5,13.55,12.46,34,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3352,0.1285,0.5362
550737.5,4669537.5,13.45,11.27,40,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.7631,0.0086,0.2283
550832.5,4669289.5,12.75,9.25,92,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.7588,0.0767,0.1645
550496.5,4669289.5,12.0,9.28,107,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.6247,0.3107,0.0646
550910.5,4669284.5,12.6,8.92,77,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3276,0.4306,0.2418
550607.5,4669335.5,12.49,8.53,180,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2049,0.3685,0.4266
550942.5,4669336.5,11.71,9.71,60,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3206,0.2557,0.4237
550821.5,4669261.5,11.75,8.72,143,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5708,0.289,0.1402
550914.5,4669310.5,11.33,8.84,115,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.6428,0.0906,0.2666
550757.5,4669302.5,12.04,8.93,116,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.8674,0.0192,0.1134
550616.5,4669337.5,11.52,8.6,91,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.4967,0.1388,0.3644
550742.5,4669304.5,11.06,8.46,84,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5478,0.0204,0.4318
550925.5,4669313.5,10.83,7.61,147,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.6812,0.1867,0.1321
550645.5,4669341.5,10.55,7.98,165,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3641,0.2776,0.3584
550590.5,4669325.5,10.75,7.92,132,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.416,0.1376,0.4464
550641.5,4669346.5,10.14,8.1,79,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3829,0.1042,0.5129
550584.5,4669324.5,10.79,7.79,49,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2938,0.3843,0.3218
550581.5,4669308.5,9.78,7.65,133,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,0,0.2218,0.6704,0.1077
550681.5,4669315.5,10.16,7.01,128,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3144,0.0361,0.6494
550596.5,4669378.5,9.58,7.4,142,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3729,0.2844,0.3427
550613.5,4669332.5,10.0,8.74,14,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.7659,0.167,0.067
550489.5,4669291.5,9.19,7.97,31,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.4542,0.0148,0.5309
550769.5,4669299.5,10.14,7.32,50,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.518,0.2475,0.2345
550751.5,4669290.5,9.11,7.64,70,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2588,0.0366,0.7046
550701.5,4669550.5,9.38,7.58,33,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.0369,0.1171,0.846
550691.5,4669534.5,9.62,7.54,86,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2004,0.1001,0.6994
550623.5,4669354.5,8.95,8.1,33,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2378,0.255,0.5072
550696.5,4669300.5,9.17,7.26,53,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.1429,0.0748,0.7822
550681.5,4669363.5,8.8,7.5,34,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.0568,0.028,0.9152
550471.5,4669318.5,8.76,7.57,25,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,0,0.3934,0.591,0.0156
550723.5,4669302.5,8.82,7.22,56,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.6533,0.0663,0.2804
