faixa_id,capa,concello,parroquia,codparro,bloque,px_medidos,ha_medida,ha_poligono_en_bloque,h_mediana,h_p90,h_max,ha_sobre_2m,pct_sobre_2m,ha_sobre_3m,pct_sobre_3m,ha_sobre_5m,pct_sobre_5m,ha_sobre_5.5m,pct_sobre_5.5m,ha_sobre_8m,pct_sobre_8m,ha_sobre_10m,pct_sobre_10m,ha_sobre_35m,pct_sobre_35m
ill-37,illadas,Covelo,Godóns (Santa María),3601307.0,PNOA-2024-GAL-558-4683-H29-NPC01_chm.tif,10555,1.0555,1.0684,0.37,5.16,22.23,0.2026,19.19,0.1532,14.51,0.1085,10.28,0.0976,9.25,0.0535,5.07,0.0369,3.5,0.0,0.0
nuc-14,nucleos,Covelo,Prado (San Salvador),3601313.0,PNOA-2024-GAL-558-4684-H29-NPC01_chm.tif,14224,1.4224,1.4229,7.12,13.2,21.5,1.0504,73.85,0.9595,67.46,0.8699,61.16,0.846,59.48,0.6332,44.52,0.438,30.79,0.0,0.0
nuc-9,nucleos,Arbo,Arbo (Santa María),3600101.0,PNOA-2024-GAL-559-4664-H29-NPC01_chm.tif,23522,2.3522,2.3522,2.93,21.84,37.4,1.3993,59.49,1.1694,49.72,0.9967,42.37,0.9378,39.87,0.7585,32.25,0.6918,29.41,0.002,0.09
nuc-40,nucleos,Arbo,Cequeliños (San Miguel),3600104.0,PNOA-2024-GAL-559-4665-H29-NPC01_chm.tif,33928,3.3928,3.3936,4.05,18.88,36.05,2.1329,62.87,1.8902,55.71,1.5443,45.52,1.466,43.21,1.1643,34.32,0.992,29.24,0.001,0.03
ill-9,illadas,Arbo,Cequeliños (San Miguel),3600104.0,PNOA-2024-GAL-559-4665-H29-NPC01_chm.tif,20985,2.0985,2.1009,3.41,19.13,33.35,1.2289,58.56,1.0915,52.01,0.9334,44.48,0.896,42.7,0.7842,37.37,0.7006,33.39,0.0,0.0
nuc-15,nucleos,Crecente,Albeos (San Xoán),3601401.0,PNOA-2024-GAL-559-4666-H29-NPC01_chm.tif,19874,1.9874,1.9869,8.82,21.35,38.4,1.5125,76.1,1.4329,72.1,1.2289,61.83,1.1662,58.68,1.0252,51.58,0.948,47.7,0.0026,0.13
nuc-40,nucleos,Arbo,Cequeliños (San Miguel),3600104.0,PNOA-2024-GAL-559-4666-H29-NPC01_chm.tif,4614,0.4614,0.4704,6.6,15.48,20.17,0.2986,64.72,0.2817,61.05,0.2572,55.74,0.249,53.97,0.2053,44.5,0.1587,34.4,0.0,0.0
nuc-15,nucleos,Crecente,Albeos (San Xoán),3601401.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,98197,9.8197,9.8195,1.94,16.18,38.35,4.7457,48.33,3.6856,37.53,2.9926,30.48,2.8367,28.89,2.2036,22.44,1.8339,18.68,0.0034,0.03
nuc-32,nucleos,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,40010,4.001,4.0021,2.88,16.07,29.79,2.4056,60.12,1.9765,49.4,1.6695,41.73,1.5937,39.83,1.2906,32.26,1.1098,27.74,0.0,0.0
nuc-33,nucleos,Arbo,Mourentán (San Cristovo),3600105.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,11250,1.125,1.1255,6.16,21.24,40.8,0.8277,73.57,0.7581,67.39,0.6251,55.56,0.5974,53.1,0.4876,43.34,0.3983,35.4,0.025,2.22
