concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
Ponteareas,Ribadetea (San Xurxo),3604224.0,147.229,79.268,67.93,56.939,54.846,46.206,40.458,1.171,53.84,46.14,38.67,37.25,31.38,27.48,0.8
Poio,Poio (San Xoán),3604102.0,195.698,87.633,71.08,56.914,54.158,42.335,34.504,0.975,44.78,36.32,29.08,27.67,21.63,17.63,0.5
Vilaboa,Vilaboa (San Martiño),3605805.0,127.491,73.173,65.314,55.827,53.858,45.584,39.648,3.891,57.39,51.23,43.79,42.24,35.75,31.1,3.05
Mos,Mos (Santa Eulalia),3603305.0,138.062,75.789,65.341,55.198,53.208,44.626,38.755,2.098,54.9,47.33,39.98,38.54,32.32,28.07,1.52
Salvaterra de Miño,Leirado (San Salvador),3605007.0,102.763,68.435,60.3,54.453,53.089,45.784,39.352,1.509,66.59,58.68,52.99,51.66,44.55,38.29,1.47
Covelo,Barcia de Mera (San Martiño),3601301.0,102.208,67.466,61.704,54.242,52.666,45.738,40.48,0.577,66.01,60.37,53.07,51.53,44.75,39.61,0.56
A Cañiza,A Cañiza (Santa Teresa),3600902.0,122.189,69.995,63.87,54.237,52.348,43.775,37.039,0.471,57.28,52.27,44.39,42.84,35.83,30.31,0.39
Redondela,Cedeira (Santo André),3604502.0,148.244,80.137,67.819,53.905,51.397,40.782,33.294,2.92,54.06,45.75,36.36,34.67,27.51,22.46,1.97
Ponteareas,Padróns (San Salvador),3604219.0,142.077,75.48,64.158,52.462,50.159,40.637,34.292,0.549,53.13,45.16,36.92,35.3,28.6,24.14,0.39
Mondariz,Sabaxáns (San Mamede),3603009.0,99.1,61.654,57.239,51.239,49.873,43.514,38.317,0.384,62.21,57.76,51.7,50.33,43.91,38.66,0.39
Ponte Caldelas,Ponte Caldelas (Santa Eulalia),3604307.0,157.424,70.567,62.392,51.586,49.471,40.166,33.09,0.299,44.83,39.63,32.77,31.43,25.51,21.02,0.19
Valga,Setecoros (San Salvador),3605603.0,144.101,68.821,58.303,50.742,49.341,43.063,38.452,1.29,47.76,40.46,35.21,34.24,29.88,26.68,0.9
Mondariz,Lougares (San Fiz),3603003.0,85.884,59.381,55.414,50.303,49.192,44.007,39.804,0.538,69.14,64.52,58.57,57.28,51.24,46.35,0.63
Mos,Torroso (San Mamede),3603310.0,122.25,65.235,57.87,50.512,49.012,42.233,36.931,1.241,53.36,47.34,41.32,40.09,34.55,30.21,1.02
Sanxenxo,Noalla (Santo Estevo),3605107.0,250.199,95.828,67.933,51.448,48.759,37.702,31.161,0.139,38.3,27.15,20.56,19.49,15.07,12.45,0.06
Sanxenxo,Adina (Santa María),3605101.0,177.898,85.35,64.713,51.443,48.708,38.531,31.92,0.379,47.98,36.38,28.92,27.38,21.66,17.94,0.21
Silleda,Silleda (Santa Baia),3605230.0,150.387,61.899,57.26,49.968,48.642,42.567,37.873,0.653,41.16,38.08,33.23,32.34,28.3,25.18,0.43
Crecente,Albeos (San Xoán),3601401.0,141.253,81.52,59.625,50.338,48.553,41.49,36.534,0.406,57.71,42.21,35.64,34.37,29.37,25.86,0.29
Vilanova de Arousa,Baión (San Xoán),3606102.0,170.852,88.473,60.537,50.378,48.408,39.579,33.903,1.313,51.78,35.43,29.49,28.33,23.17,19.84,0.77
O Porriño,Chenlo (San Xoán),3603904.0,83.696,56.534,52.849,48.643,47.744,43.679,40.482,8.464,67.55,63.14,58.12,57.04,52.19,48.37,10.11
Meis,A Armenteira (Santa María),3602801.0,116.816,66.51,55.032,48.82,47.599,41.99,37.549,1.782,56.94,47.11,41.79,40.75,35.95,32.14,1.53
Lalín,Lalín (Santa María das Dores),3602427.0,137.994,64.212,56.627,48.869,47.379,40.552,35.375,0.075,46.53,41.04,35.41,34.33,29.39,25.64,0.05
Lalín,Botos (San Xoán),3602408.0,138.095,58.035,53.493,48.425,47.311,41.687,37.011,0.097,42.03,38.74,35.07,34.26,30.19,26.8,0.07
Cangas,Darbo (Santa María),3600804.0,125.878,70.099,60.745,49.24,47.244,38.543,32.52,1.871,55.69,48.26,39.12,37.53,30.62,25.83,1.49
Forcarei,Forcarei (San Martiño),3601804.0,106.433,57.045,53.685,48.222,46.954,40.702,35.331,0.316,53.6,50.44,45.31,44.12,38.24,33.2,0.3
A Cañiza,Oroso (Santa María),3600906.0,131.706,63.651,57.7,48.77,46.666,36.926,28.968,0.038,48.33,43.81,37.03,35.43,28.04,21.99,0.03
Moraña,Saiáns (San Salvador),3603209.0,127.234,63.777,54.927,47.842,46.47,40.094,35.118,0.825,50.13,43.17,37.6,36.52,31.51,27.6,0.65
Cotobade,Tenorio (San Pedro),3690218.0,85.044,54.192,51.359,47.31,46.353,41.511,36.9,0.554,63.72,60.39,55.63,54.51,48.81,43.39,0.65
A Cañiza,O Couto (San Bartolomeu),3600903.0,103.21,59.641,54.649,47.666,46.157,38.938,33.22,1.148,57.79,52.95,46.18,44.72,37.73,32.19,1.11
A Cañiza,As Achas (San Sebastián),3600901.0,137.711,62.07,56.594,47.95,45.913,36.569,29.318,0.255,45.07,41.1,34.82,33.34,26.56,21.29,0.19
Moaña,Domaio (San Pedro),3602901.0,106.666,60.636,54.499,46.708,45.198,38.719,34.214,1.404,56.85,51.09,43.79,42.37,36.3,32.08,1.32
A Cañiza,Petán (San Xián),3600908.0,123.143,61.51,56.466,47.225,45.186,36.151,29.382,0.236,49.95,45.85,38.35,36.69,29.36,23.86,0.19
Cotobade,Aguasantas (Santa María),3690201.0,77.431,52.34,49.692,45.973,45.083,39.955,35.211,0.701,67.6,64.18,59.37,58.22,51.6,45.47,0.91
Cangas,Aldán (San Cibrán),3600801.0,122.267,65.279,56.612,46.549,44.699,36.863,31.24,0.965,53.39,46.3,38.07,36.56,30.15,25.55,0.79
Mos,Cela (San Pedro),3603301.0,141.51,66.321,56.602,46.497,44.405,35.179,28.859,1.8,46.87,40.0,32.86,31.38,24.86,20.39,1.27
A Lama,Seixido (San Bartolomeu),3602510.0,85.569,59.049,54.727,46.316,44.321,34.768,27.787,0.176,69.01,63.96,54.13,51.8,40.63,32.47,0.21
Cangas,Coiro (San Salvador),3600803.0,150.68,72.54,60.895,46.876,44.283,34.209,27.0,0.595,48.14,40.41,31.11,29.39,22.7,17.92,0.39
Mos,Tameiga (San Martiño),3603309.0,119.019,62.229,54.906,46.017,44.132,35.903,30.171,1.558,52.28,46.13,38.66,37.08,30.17,25.35,1.31
Ponteareas,Cristiñade (San Salvador),3604207.0,91.344,57.103,51.489,45.194,44.017,38.987,35.333,1.101,62.51,56.37,49.48,48.19,42.68,38.68,1.21
Tomiño,Barrantes (San Vicente),3605402.0,109.949,55.15,50.681,44.871,43.636,37.819,33.65,1.942,50.16,46.09,40.81,39.69,34.4,30.61,1.77
Portas,Portas (Santa María),3604003.0,144.392,76.843,53.329,45.216,43.625,36.574,31.82,0.958,53.22,36.93,31.32,30.21,25.33,22.04,0.66
Crecente,Crecente (San Pedro),3601404.0,77.113,54.983,49.348,44.511,43.499,38.947,35.28,1.141,71.3,63.99,57.72,56.41,50.51,45.75,1.48
Salceda de Caselas,Entenza (Santos Xusto e Pastor),3604902.0,96.616,60.129,50.881,44.539,43.386,38.337,34.705,2.27,62.24,52.66,46.1,44.91,39.68,35.92,2.35
Salceda de Caselas,Santo Estevo de Budiño (Santo Estevo),3604901.0,85.152,54.235,49.566,43.494,42.27,36.652,32.258,0.972,63.69,58.21,51.08,49.64,43.04,37.88,1.14
Salvaterra de Miño,Alxén (San Paio),3605001.0,94.018,55.432,47.063,42.767,41.938,38.095,35.209,3.38,58.96,50.06,45.49,44.61,40.52,37.45,3.6
Moraña,Santa Xusta de Moraña (Santa Xusta),3603207.0,96.115,52.453,47.366,42.455,41.336,35.787,31.05,1.044,54.57,49.28,44.17,43.01,37.23,32.3,1.09
Mondariz,Toutón (San Mateo),3603010.0,88.776,51.871,47.344,42.208,41.086,35.826,31.805,0.646,58.43,53.33,47.54,46.28,40.35,35.83,0.73
Salceda de Caselas,Santa María de Salceda (Santa María),3604906.0,116.824,61.576,52.124,42.784,41.015,33.846,29.528,2.072,52.71,44.62,36.62,35.11,28.97,25.28,1.77
O Porriño,Torneiros (San Salvador),3603908.0,90.737,51.368,46.527,41.757,40.818,36.666,33.356,2.503,56.61,51.28,46.02,44.99,40.41,36.76,2.76
Mondariz,Riofrío (San Miguel),3603008.0,89.853,54.266,49.009,42.221,40.794,34.807,30.407,0.257,60.39,54.54,46.99,45.4,38.74,33.84,0.29
Marín,San Tomé de Piñeiro (San Tomé),3602606.0,98.419,56.03,49.754,42.18,40.617,34.256,29.986,3.959,56.93,50.55,42.86,41.27,34.81,30.47,4.02
A Estrada,Berres (San Vicenzo),3601711.0,107.056,54.392,48.721,41.892,40.346,34.093,29.712,0.373,50.81,45.51,39.13,37.69,31.85,27.75,0.35
Moaña,Moaña (Virxe do Carme),3602904.0,96.021,56.249,49.463,41.775,40.179,33.154,27.877,1.326,58.58,51.51,43.51,41.84,34.53,29.03,1.38
Redondela,O Viso (Santa María),3604513.0,154.916,67.5,54.522,41.886,39.801,31.142,25.638,0.449,43.57,35.19,27.04,25.69,20.1,16.55,0.29
Ponteareas,Xinzo (Santa Mariña),3604211.0,102.349,57.199,48.269,40.854,39.499,33.882,30.013,1.315,55.89,47.16,39.92,38.59,33.1,29.32,1.28
Redondela,Chapela (San Fausto),3604504.0,95.343,58.114,50.418,40.936,39.212,31.217,25.508,0.325,60.95,52.88,42.94,41.13,32.74,26.75,0.34
Valga,Valga (San Miguel),3605604.0,109.211,52.906,46.383,40.332,39.01,32.383,27.214,0.289,48.44,42.47,36.93,35.72,29.65,24.92,0.26
Ponteareas,San Mateo de Oliveira (San Mateo),3604217.0,105.416,58.071,49.557,40.457,38.774,32.604,28.394,0.177,55.09,47.01,38.38,36.78,30.93,26.93,0.17
Cotobade,Sacos (San Xurxo),3690216.0,81.334,49.39,45.757,39.991,38.623,32.584,28.238,0.427,60.73,56.26,49.17,47.49,40.06,34.72,0.52
O Porriño,Mosende (San Xurxo),3603905.0,80.976,49.937,44.357,39.412,38.603,34.89,32.005,3.104,61.67,54.78,48.67,47.67,43.09,39.52,3.83
Meis,Paradela (Santa María),3602808.0,96.898,57.575,45.234,39.692,38.587,33.312,29.355,1.318,59.42,46.68,40.96,39.82,34.38,30.29,1.36
A Estrada,Codeseda (San Xurxo),3601715.0,128.001,52.341,47.754,40.134,38.581,31.522,26.592,0.067,40.89,37.31,31.35,30.14,24.63,20.77,0.05
Cerdedo,Cerdedo (San Xoán),3690207.0,98.311,48.24,45.314,39.834,38.522,32.26,27.004,0.215,49.07,46.09,40.52,39.18,32.81,27.47,0.22
Marín,Marín (San Xián),3602603.0,121.817,58.524,49.588,40.085,38.426,31.6,27.35,1.733,48.04,40.71,32.91,31.54,25.94,22.45,1.42
Caldas de Reis,Saiar (Santo Estevo),3600508.0,139.95,58.883,47.477,39.807,38.304,31.586,26.698,0.232,42.07,33.92,28.44,27.37,22.57,19.08,0.17
Tomiño,Goián (San Cristovo),3605407.0,93.458,54.804,44.545,39.23,38.289,33.932,30.266,0.316,58.64,47.66,41.98,40.97,36.31,32.38,0.34
Gondomar,Mañufe (San Vicente),3602106.0,120.639,55.043,47.446,39.36,37.869,31.302,26.689,1.021,45.63,39.33,32.63,31.39,25.95,22.12,0.85
Lalín,Filgueira (Santa María),3602421.0,124.739,47.077,43.625,38.859,37.838,33.012,29.283,0.129,37.74,34.97,31.15,30.33,26.46,23.48,0.1
Crecente,Filgueira (San Pedro),3601405.0,49.472,42.339,40.799,38.434,37.832,34.604,31.835,0.889,85.58,82.47,77.69,76.47,69.95,64.35,1.8
Mos,Petelos (San Mamede),3603307.0,84.694,48.424,43.88,38.883,37.832,32.804,28.866,0.521,57.18,51.81,45.91,44.67,38.73,34.08,0.62
Lalín,Vilatuxe (San Lourenzo),3602447.0,135.493,46.898,43.574,38.69,37.676,32.622,28.271,0.049,34.61,32.16,28.55,27.81,24.08,20.87,0.04
Cotobade,Borela (San Martiño),3690203.0,68.403,44.361,42.248,38.515,37.673,33.023,28.746,0.079,64.85,61.76,56.31,55.07,48.28,42.02,0.12
Ponteareas,Arcos (San Breixo),3604202.0,70.019,46.339,42.426,38.293,37.493,33.487,30.007,0.174,66.18,60.59,54.69,53.55,47.83,42.86,0.25
Vilagarcía de Arousa,Sobrán (San Martiño de Fóra),3606009.0,168.037,73.192,52.14,39.35,37.336,29.028,24.241,0.555,43.56,31.03,23.42,22.22,17.27,14.43,0.33
Caldas de Reis,Santo André de Cesar (Santo André),3600505.0,93.845,51.548,44.197,38.556,37.304,31.322,26.954,0.628,54.93,47.1,41.08,39.75,33.38,28.72,0.67
A Lama,A Lama (San Salvador),3602509.0,80.917,46.439,43.278,38.271,37.108,30.812,26.304,0.162,57.39,53.49,47.3,45.86,38.08,32.51,0.2
A Estrada,San Miguel de Castro (San Miguel),3601713.0,99.581,49.846,44.302,38.111,36.843,31.142,27.038,0.345,50.06,44.49,38.27,37.0,31.27,27.15,0.35
Redondela,Cesantes (San Pedro),3604503.0,164.911,66.082,52.495,39.019,36.755,27.803,22.396,0.369,40.07,31.83,23.66,22.29,16.86,13.58,0.22
Salvaterra de Miño,Cabreira (San Miguel),3605003.0,77.486,48.832,42.878,37.368,36.403,32.202,29.073,2.463,63.02,55.34,48.22,46.98,41.56,37.52,3.18
Ponteareas,Guillade (San Miguel),3604212.0,98.845,52.987,45.803,37.86,36.398,30.405,26.36,0.66,53.61,46.34,38.3,36.82,30.76,26.67,0.67
Marín,Ardán (Santa María),3602601.0,103.206,52.787,45.574,37.86,36.323,29.786,25.035,1.682,51.15,44.16,36.68,35.19,28.86,24.26,1.63
A Estrada,Matalobos (Santa Baia),3601726.0,116.29,50.794,45.433,37.714,36.283,29.93,25.679,0.259,43.68,39.07,32.43,31.2,25.74,22.08,0.22
As Neves,Taboexa (Santa María),3603411.0,98.596,55.633,45.517,37.659,36.12,29.998,25.306,0.81,56.42,46.17,38.2,36.63,30.42,25.67,0.82
Fornelos de Montes,Fornelos de Montes (San Lourenzo),3601903.0,83.808,44.853,41.759,36.986,35.941,30.883,26.759,0.566,53.52,49.83,44.13,42.88,36.85,31.93,0.68
Lalín,Catasós (Santiago),3602414.0,131.452,47.609,43.063,37.075,35.846,30.057,25.624,0.004,36.22,32.76,28.2,27.27,22.87,19.49,0.0
Covelo,Santiago de Covelo (Santiago),3601305.0,63.557,42.917,40.487,36.651,35.843,31.841,28.346,0.53,67.52,63.7,57.67,56.39,50.1,44.6,0.83
Ponte Caldelas,Tourón (Santa María),3604309.0,124.274,50.563,44.352,36.849,35.354,27.957,22.397,0.281,40.69,35.69,29.65,28.45,22.5,18.02,0.23
Redondela,Reboreda (Santa María),3604507.0,167.225,67.305,51.77,37.514,35.25,26.212,21.138,0.908,40.25,30.96,22.43,21.08,15.67,12.64,0.54
Covelo,Covelo (Santa Mariña),3601304.0,65.216,42.313,39.789,36.047,35.172,30.942,27.434,0.729,64.88,61.01,55.27,53.93,47.45,42.07,1.12
Salvaterra de Miño,Lira (San Simón),3605008.0,68.698,44.908,40.254,36.017,35.147,31.252,28.122,0.435,65.37,58.6,52.43,51.16,45.49,40.94,0.63
Lalín,Donramiro (Santa María),3602419.0,99.687,45.776,41.109,36.102,35.144,30.731,27.519,0.0,45.92,41.24,36.22,35.25,30.83,27.61,0.0
Salceda de Caselas,Parderrubias (San Tomé),3604903.0,101.106,50.827,43.165,36.251,34.932,29.56,26.131,2.012,50.27,42.69,35.85,34.55,29.24,25.85,1.99
Valga,Xanza (Santa María),3605605.0,118.099,52.807,42.136,35.787,34.554,28.9,25.051,0.506,44.71,35.68,30.3,29.26,24.47,21.21,0.43
A Estrada,Guimarei (San Xiao),3601721.0,132.814,49.934,43.574,35.785,34.409,28.922,25.583,0.982,37.6,32.81,26.94,25.91,21.78,19.26,0.74
Salceda de Caselas,Soutelo (San Vicente),3604907.0,70.253,43.801,38.773,35.002,34.29,31.173,29.049,2.057,62.35,55.19,49.82,48.81,44.37,41.35,2.93
Gondomar,Vincios (Santa Mariña),3602110.0,106.848,50.577,43.802,35.601,34.155,27.902,23.745,0.828,47.34,40.99,33.32,31.97,26.11,22.22,0.77
Portas,Romai (San Xián),3604004.0,131.614,59.364,43.382,35.438,33.922,27.22,22.315,0.315,45.1,32.96,26.93,25.77,20.68,16.95,0.24
Ponteareas,Pías (Santa Mariña),3604221.0,99.915,48.924,42.561,35.466,33.903,27.405,22.713,0.276,48.97,42.6,35.5,33.93,27.43,22.73,0.28
Salvaterra de Miño,Oleiros (Santa María),3605011.0,57.687,40.475,37.221,34.35,33.767,30.884,28.402,1.5,70.16,64.52,59.54,58.53,53.54,49.24,2.6
Catoira,Dimo (San Pedro),3601003.0,107.494,49.017,41.512,35.046,33.678,27.012,21.85,0.101,45.6,38.62,32.6,31.33,25.13,20.33,0.09
A Estrada,A Estrada (San Paio),3601719.0,99.664,45.505,40.866,34.918,33.666,27.895,24.039,0.644,45.66,41.0,35.04,33.78,27.99,24.12,0.65
Mos,Sanguiñeda (Santa María),3603308.0,84.508,44.658,39.68,34.607,33.661,28.983,25.547,0.472,52.84,46.95,40.95,39.83,34.3,30.23,0.56
Caldas de Reis,Bemil (Santa María),3600509.0,128.288,54.251,44.305,35.314,33.655,26.436,21.853,1.053,42.29,34.54,27.53,26.23,20.61,17.03,0.82
Vilaboa,Santa Cristina de Cobres (Santa Cristina),3605803.0,82.704,46.17,41.227,34.898,33.64,28.118,24.187,0.882,55.82,49.85,42.2,40.67,34.0,29.24,1.07
Crecente,Rebordechán (Santa María),3601408.0,48.428,37.8,36.431,34.085,33.548,30.605,27.916,0.753,78.05,75.23,70.38,69.27,63.2,57.64,1.56
Salvaterra de Miño,Meder (Santo Adrián),3605010.0,114.792,62.676,43.053,35.018,33.518,27.546,23.407,0.49,54.6,37.51,30.51,29.2,24.0,20.39,0.43
Redondela,Vilar de Infesta (San Martiño),3604512.0,106.026,52.485,43.969,35.004,33.362,26.015,21.418,1.451,49.5,41.47,33.01,31.47,24.54,20.2,1.37
Tui,Pexegueiro (San Miguel),3605508.0,89.352,45.378,39.073,34.129,33.207,29.295,26.416,1.273,50.79,43.73,38.2,37.16,32.79,29.56,1.42
A Guarda,Camposancos (Santa Isabel),3602301.0,91.939,47.366,41.846,34.411,32.99,26.378,21.812,0.492,51.52,45.52,37.43,35.88,28.69,23.72,0.54
Barro,Barro (San Breixo),3600202.0,71.683,45.181,37.523,33.749,32.985,29.339,26.264,1.054,63.03,52.35,47.08,46.01,40.93,36.64,1.47
Ponteareas,Nogueira (San Salvador),3604215.0,65.541,42.066,37.598,33.425,32.641,29.266,26.738,0.94,64.18,57.37,51.0,49.8,44.65,40.8,1.43
A Estrada,Ouzande (San Lourenzo),3601732.0,93.79,43.833,39.268,33.499,32.51,27.92,24.652,0.617,46.74,41.87,35.72,34.66,29.77,26.28,0.66
Ponteareas,Oliveira (Santiago),3604218.0,71.274,42.026,37.638,33.114,32.265,28.295,25.246,0.525,58.96,52.81,46.46,45.27,39.7,35.42,0.74
Vilagarcía de Arousa,Bamio (San Xens),3606002.0,107.124,52.01,43.037,33.938,32.148,24.917,20.503,0.162,48.55,40.17,31.68,30.01,23.26,19.14,0.15
Arbo,Arbo (Santa María),3600101.0,143.409,80.041,45.291,33.971,31.863,23.961,19.662,0.425,55.81,31.58,23.69,22.22,16.71,13.71,0.3
A Guarda,Salcidos (San Lourenzo),3602303.0,119.692,46.686,40.456,33.071,31.765,25.924,21.847,0.59,39.01,33.8,27.63,26.54,21.66,18.25,0.49
Caldas de Reis,Godos (Santa María),3600507.0,111.06,48.962,40.387,33.271,31.74,24.666,19.984,0.583,44.09,36.36,29.96,28.58,22.21,17.99,0.52
Ponte Caldelas,A Insua (Santa Mariña),3604305.0,114.709,50.473,43.034,33.415,31.665,25.2,21.052,0.112,44.0,37.52,29.13,27.6,21.97,18.35,0.1
Forcarei,Millarada (San Amedio),3601807.0,95.381,39.119,36.637,32.518,31.568,26.443,22.001,0.016,41.01,38.41,34.09,33.1,27.72,23.07,0.02
Crecente,Ribeira (Santa Mariña),3601409.0,58.441,40.231,36.435,32.24,31.356,27.44,24.393,0.275,68.84,62.34,55.17,53.65,46.95,41.74,0.47
Ponteareas,Ponteareas (San Miguel),3604223.0,91.011,45.09,38.481,32.511,31.351,26.255,22.807,0.321,49.54,42.28,35.72,34.45,28.85,25.06,0.35
Mondariz,Gargamala (Santa María),3603002.0,76.324,41.639,37.556,32.332,31.144,25.552,20.988,0.062,54.56,49.21,42.36,40.81,33.48,27.5,0.08
A Estrada,Arnois (San Xiao),3601706.0,94.776,44.039,37.641,32.198,31.144,26.427,23.089,0.069,46.47,39.72,33.97,32.86,27.88,24.36,0.07
Cuntis,Troáns (Santa María),3601508.0,120.558,49.28,39.786,32.382,31.095,25.334,21.189,0.345,40.88,33.0,26.86,25.79,21.01,17.58,0.29
Vilaboa,Cobres (Santo Adrán),3605802.0,91.692,45.036,38.938,32.301,31.027,25.813,22.304,1.988,49.12,42.47,35.23,33.84,28.15,24.32,2.17
Campo Lameiro,O Campo (San Miguel),3600701.0,79.006,43.028,37.419,31.97,30.925,26.291,22.908,0.487,54.46,47.36,40.47,39.14,33.28,29.0,0.62
Lalín,Soutolongo (Santa María),3602443.0,89.465,38.093,34.376,31.542,30.856,27.811,25.323,0.012,42.58,38.42,35.26,34.49,31.09,28.3,0.01
Mondariz,Mouriscados (San Cibrán),3603006.0,65.141,39.571,36.417,31.765,30.764,26.027,22.457,1.069,60.75,55.9,48.76,47.23,39.95,34.47,1.64
Lalín,Goiás (San Miguel),3602424.0,140.754,41.452,37.462,31.805,30.72,25.499,21.547,0.0,29.45,26.62,22.6,21.83,18.12,15.31,0.0
Redondela,Saxamonde (San Román),3604509.0,89.966,48.438,40.306,32.244,30.658,24.012,20.032,0.937,53.84,44.8,35.84,34.08,26.69,22.27,1.04
Campo Lameiro,Fragas (Santa Mariña),3600703.0,97.475,47.356,38.591,31.871,30.63,25.213,21.581,0.835,48.58,39.59,32.7,31.42,25.87,22.14,0.86
Covelo,Maceira (San Salvador),3601310.0,77.649,39.988,36.806,31.771,30.618,25.292,20.957,0.111,51.5,47.4,40.92,39.43,32.57,26.99,0.14
Ponteareas,Fozara (San Bartolomeu),3604210.0,73.07,40.625,35.922,31.467,30.525,26.499,23.558,0.234,55.6,49.16,43.06,41.77,36.26,32.24,0.32
Mondariz,Vilasobroso (San Martiño),3603012.0,53.062,36.719,34.299,31.15,30.484,27.202,24.545,1.011,69.2,64.64,58.7,57.45,51.26,46.26,1.91
A Lama,Gaxate (San Pedro),3602506.0,43.234,33.382,32.378,30.703,30.32,28.302,26.317,1.426,77.21,74.89,71.02,70.13,65.46,60.87,3.3
A Lama,Covelo (San Sebastián),3602504.0,66.67,37.779,35.754,31.361,30.282,24.802,20.278,0.066,56.67,53.63,47.04,45.42,37.2,30.42,0.1
Sanxenxo,Dorrón (San Xoán),3605104.0,94.553,46.088,39.078,31.532,30.098,24.486,20.783,0.822,48.74,41.33,33.35,31.83,25.9,21.98,0.87
Tui,Guillarei (San Mamede),3605504.0,98.978,45.348,38.14,30.948,29.658,24.178,20.799,1.256,45.82,38.53,31.27,29.96,24.43,21.01,1.27
Silleda,Manduas (San Tirso),3605216.0,129.933,42.114,37.925,30.895,29.5,23.767,20.191,0.122,32.41,29.19,23.78,22.7,18.29,15.54,0.09
Meis,Nogueira (San Vicente),3602805.0,83.548,45.13,33.431,30.049,29.395,26.25,23.924,1.019,54.02,40.01,35.97,35.18,31.42,28.64,1.22
Salvaterra de Miño,Arantei (San Pedro),3605002.0,71.752,45.794,33.474,29.968,29.305,26.484,24.496,0.864,63.82,46.65,41.77,40.84,36.91,34.14,1.2
Barro,Perdecanai (Santa María),3600204.0,69.754,39.823,33.592,29.919,29.188,25.652,22.802,1.199,57.09,48.16,42.89,41.84,36.78,32.69,1.72
Vilagarcía de Arousa,Cea (San Pedro),3606004.0,111.355,49.127,38.916,30.438,29.016,23.028,18.951,0.313,44.12,34.95,27.33,26.06,20.68,17.02,0.28
Redondela,Trasmañó (San Vicente),3604510.0,84.542,47.352,40.04,30.603,28.857,21.946,17.554,0.25,56.01,47.36,36.2,34.13,25.96,20.76,0.3
Moraña,Rebón (San Pedro),3603208.0,86.44,41.746,34.746,29.739,28.73,24.079,20.763,0.335,48.29,40.2,34.4,33.24,27.86,24.02,0.39
Mondariz,Vilar (San Mamede),3603011.0,57.269,36.688,33.656,29.456,28.61,25.312,22.63,0.122,64.06,58.77,51.44,49.96,44.2,39.52,0.21
Mondariz,Frades (San Martiño),3603001.0,55.66,35.587,32.687,29.075,28.279,24.564,21.745,0.467,63.94,58.73,52.24,50.81,44.13,39.07,0.84
Nigrán,Nigrán (San Fiz),3603503.0,89.548,43.115,37.052,29.58,28.212,22.399,18.367,0.236,48.15,41.38,33.03,31.5,25.01,20.51,0.26
Meis,Meis (San Salvador),3602803.0,88.656,48.334,33.195,28.887,28.014,23.733,20.161,0.516,54.52,37.44,32.58,31.6,26.77,22.74,0.58
Tui,Rebordáns (San Bartolomeu),3605510.0,71.844,39.755,34.278,28.817,27.775,23.27,20.221,0.765,55.33,47.71,40.11,38.66,32.39,28.15,1.06
O Porriño,Cans (Santo Estevo),3603903.0,45.61,31.998,30.206,27.956,27.537,25.536,23.779,2.406,70.16,66.23,61.29,60.37,55.99,52.14,5.28
Vilagarcía de Arousa,Rubiáns (Santa María),3606007.0,90.583,45.77,34.772,28.351,27.059,21.315,17.471,0.839,50.53,38.39,31.3,29.87,23.53,19.29,0.93
A Lama,Xesta (San Bartolomeu),3602508.0,70.273,35.708,32.784,28.065,27.034,22.021,17.456,0.031,50.81,46.65,39.94,38.47,31.34,24.84,0.04
A Lama,Antas (Santiago),3602501.0,43.485,31.42,29.891,27.524,26.958,24.112,21.669,0.61,72.25,68.74,63.29,61.99,55.45,49.83,1.4
A Estrada,Moreira (San Miguel),3601727.0,106.101,39.07,34.002,28.009,26.833,22.122,19.166,0.141,36.82,32.05,26.4,25.29,20.85,18.06,0.13
Tui,Randufe (Santa María da Guía),3605509.0,88.898,41.135,34.079,27.92,26.804,22.056,19.139,1.008,46.27,38.33,31.41,30.15,24.81,21.53,1.13
Sanxenxo,Nantes (Santa Baia),3605106.0,99.5,50.61,33.058,27.703,26.724,22.116,18.631,0.606,50.86,33.22,27.84,26.86,22.23,18.72,0.61
Moaña,Moaña (San Martiño),3602903.0,68.355,38.977,33.832,27.867,26.632,21.146,17.28,0.519,57.02,49.49,40.77,38.96,30.94,25.28,0.76
Salvaterra de Miño,Fiolledo (San Paio),3605005.0,44.531,32.118,29.961,27.153,26.558,24.09,22.105,0.733,72.12,67.28,60.98,59.64,54.1,49.64,1.65
Lalín,A Xesta (San Fiz),3602423.0,69.753,30.969,29.358,26.923,26.319,23.524,21.014,0.022,44.4,42.09,38.6,37.73,33.72,30.13,0.03
A Lama,A Barcia do Seixo (Santa Ana),3602502.0,76.156,36.191,33.435,27.657,26.28,20.458,15.957,0.013,47.52,43.9,36.32,34.51,26.86,20.95,0.02
Cambados,Castrelo (Santa Cruz),3600602.0,225.229,134.332,39.456,27.744,26.169,19.826,16.585,0.217,59.64,17.52,12.32,11.62,8.8,7.36,0.1
Crecente,Vilar (San Xorxe),3601411.0,66.483,43.778,31.054,26.833,26.127,23.103,20.883,0.871,65.85,46.71,40.36,39.3,34.75,31.41,1.31
