concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
Agolada,Eidián (Santiago),3602012.0,23.233,9.222,8.618,7.559,7.31,6.134,5.153,0.0,39.69,37.09,32.53,31.46,26.4,22.18,0.0
Silleda,Fiestras (San Martiño),3605212.0,34.194,9.77,8.821,7.552,7.294,6.029,4.94,0.028,28.57,25.8,22.09,21.33,17.63,14.45,0.08
Silleda,Laro (San Salvador),3605215.0,52.687,14.107,10.487,7.822,7.262,5.334,4.251,0.0,26.78,19.9,14.85,13.78,10.12,8.07,0.0
Fornelos de Montes,Traspielas (Santa María),3601906.0,48.004,11.35,9.715,7.488,7.054,5.149,3.888,0.0,23.64,20.24,15.6,14.69,10.73,8.1,0.0
Agolada,Berredo (Santa María),3602007.0,22.148,8.92,8.256,7.203,6.956,5.798,4.805,0.002,40.27,37.28,32.52,31.41,26.18,21.7,0.01
Lalín,Busto (San Facundo),3602409.0,19.711,7.917,7.596,7.046,6.95,6.473,6.016,0.018,40.17,38.54,35.74,35.26,32.84,30.52,0.09
Fornelos de Montes,Oitavén (San Vicente),3601905.0,21.304,10.062,8.871,7.226,6.884,5.259,4.063,0.0,47.23,41.64,33.92,32.31,24.69,19.07,0.0
Pazos de Borbén,A Ermida (Nosa Señora da Anunciación),3603704.0,12.433,8.397,7.914,7.084,6.879,6.081,5.4,0.016,67.54,63.65,56.98,55.33,48.91,43.44,0.13
Cuntis,Couselo (San Miguel),3601503.0,28.106,10.343,8.843,7.16,6.836,5.632,4.706,0.095,36.8,31.46,25.48,24.32,20.04,16.74,0.34
Ponteareas,Paredes (San Cibrán),3604220.0,21.148,9.617,8.129,6.929,6.698,5.752,5.174,0.041,45.47,38.44,32.76,31.67,27.2,24.46,0.19
A Estrada,San Miguel de Barcala (San Miguel),3601709.0,32.342,12.726,9.568,7.123,6.664,4.888,3.8,0.01,39.35,29.58,22.02,20.6,15.11,11.75,0.03
Lalín,Anseán (Santiago),3602403.0,24.125,11.736,7.83,6.717,6.549,5.848,5.31,0.0,48.65,32.46,27.84,27.15,24.24,22.01,0.0
Fornelos de Montes,A Laxe (San Xosé),3601904.0,29.844,9.972,8.798,6.915,6.522,4.808,3.75,0.0,33.42,29.48,23.17,21.85,16.11,12.56,0.0
Forcarei,Meavía (San Xoán),3601806.0,49.767,10.108,8.28,6.736,6.402,5.007,3.848,0.0,20.31,16.64,13.53,12.86,10.06,7.73,0.0
Vilagarcía de Arousa,Solobeira (San Fins),3606011.0,26.679,14.008,8.228,6.56,6.323,5.345,4.694,0.179,52.51,30.84,24.59,23.7,20.03,17.59,0.67
Cerdedo,Pedre (Santo Estevo),3690213.0,15.759,9.229,8.356,6.66,6.317,4.949,3.939,0.028,58.57,53.02,42.26,40.08,31.4,25.0,0.18
A Guarda,A Guarda (Santa María),3602302.0,23.338,9.909,8.256,6.634,6.315,4.969,4.285,0.003,42.46,35.38,28.42,27.06,21.29,18.36,0.01
A Estrada,Barcala (Santa Mariña),3601710.0,20.482,9.287,7.814,6.555,6.301,5.162,4.414,0.06,45.34,38.15,32.01,30.76,25.2,21.55,0.29
Agolada,Brántega (San Lourenzo),3602009.0,22.834,7.938,7.448,6.508,6.288,5.162,4.172,0.0,34.76,32.62,28.5,27.54,22.61,18.27,0.0
Lalín,Camposancos (San Cristovo),3602411.0,21.73,7.295,7.039,6.426,6.269,5.409,4.534,0.0,33.57,32.4,29.57,28.85,24.89,20.87,0.0
Pazos de Borbén,Moscoso (San Paio),3603705.0,22.166,7.75,7.101,6.284,6.132,5.401,4.742,0.019,34.96,32.04,28.35,27.66,24.36,21.39,0.08
A Estrada,Baloira (San Salvador),3601707.0,27.113,9.516,7.923,6.379,6.123,5.079,4.315,0.016,35.1,29.22,23.53,22.58,18.73,15.92,0.06
Moraña,Gargantáns (San Martiño),3603203.0,26.424,9.907,7.752,6.385,6.118,4.962,4.249,0.209,37.49,29.34,24.17,23.15,18.78,16.08,0.79
Vilagarcía de Arousa,Sobradelo (San Salvador),3606008.0,21.468,9.629,7.733,6.239,5.955,4.962,4.245,0.021,44.85,36.02,29.06,27.74,23.11,19.77,0.1
Agolada,Artoño (Santalla),3602002.0,14.116,6.623,6.414,6.002,5.885,5.23,4.542,0.023,46.92,45.43,42.51,41.69,37.05,32.18,0.16
Pazos de Borbén,Xunqueiras (San Salvador),3603708.0,23.649,7.964,7.215,6.101,5.87,4.777,3.981,0.016,33.68,30.51,25.8,24.82,20.2,16.83,0.07
Silleda,Martixe (San Cristovo),3605218.0,30.577,8.285,7.376,6.044,5.813,4.86,4.28,0.0,27.1,24.12,19.77,19.01,15.9,14.0,0.0
