OBJECTID_12,sp,prohibida,n_px,ha_faixa,estado,anho_evento,caida,etiqueta
86501,Pinus_pinaster,True,3303,0.0,persistente,,0.135,ifn_2010
86502,Eucalyptus_globulus,True,138,0.0,persistente,,0.014,ifn_2010
86503,Pinus_pinaster,True,1410,0.0,persistente,,0.053,ifn_2010
86504,Eucalyptus_globulus,True,7429,11.978,persistente,,0.017,ifn_2010
86505,Pinus_pinaster,True,2197,3.003,persistente,,0.026,ifn_2010
86506,Pinus_pinaster,True,15334,16.17,persistente,,0.027,ifn_2010
86507,Quercus_robur,False,908,0.995,persistente,,0.006,ifn_2010
86508,Pinus_radiata,True,1395,0.0,persistente,,0.057,ifn_2010
86509,Pinus_pinaster,True,341,0.0,persistente,,0.026,ifn_2010
86510,Eucalyptus_globulus,True,15563,0.025,persistente,,0.035,ifn_2010
86511,Quercus_robur,False,1614,0.0,persistente,,0.018,ifn_2010
86512,Eucalyptus_globulus,True,448,0.02,persistente,,0.021,ifn_2010
86513,Quercus_robur,False,4493,2.963,persistente,,0.015,ifn_2010
86517,Pinus_pinaster,True,0,0.695,sin_dato,,,sin_serie
86518,Eucalyptus_globulus,True,1512,0.0,persistente,,0.011,ifn_2010
86519,Eucalyptus_globulus,True,984,0.0,persistente,,0.026,ifn_2010
86520,Quercus_robur,False,588,1.635,persistente,,0.028,ifn_2010
86521,Pinus_radiata,True,367,0.0,persistente,,0.038,ifn_2010
86522,Pinus_pinaster,True,866,2.5,persistente,,0.072,ifn_2010
86523,Pinus_pinaster,True,2138,0.0,persistente,,0.105,ifn_2010
86524,Pinus_pinaster,True,430,0.0,persistente,,0.115,ifn_2010
86525,Quercus_robur,False,340,1.021,persistente,,0.057,ifn_2010
86526,Pinus_pinaster,True,326,0.226,persistente,,0.021,ifn_2010
86527,Pinus_pinaster,True,23910,30.028,persistente,,0.027,ifn_2010
86528,Eucalyptus_globulus,True,1195,0.0,evento,2023.0,0.267,prohibida_rebrote
86529,Pinus_pinaster,True,173,0.322,persistente,,0.018,ifn_2010
86530,Pinus_pinaster,True,1007,0.0,persistente,,0.053,ifn_2010
86531,Pinus_radiata,True,2239,0.0,persistente,,0.023,ifn_2010
86532,Pinus_pinaster,True,1228,0.324,persistente,,0.031,ifn_2010
86533,Eucalyptus_globulus,True,2651,7.285,persistente,,0.019,ifn_2010
