puesto,concello,parroquia,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
22,Mos,Torroso (San Mamede),122.25,49.012,1.241,29.6,36.4,33.0
23,Portas,Portas (Santa María),144.392,43.625,0.958,28.2,36.5,32.4
24,Salvaterra de Miño,Leirado (San Salvador),102.763,53.089,1.509,24.0,40.2,32.1
25,Sanxenxo,Adina (Santa María),177.898,48.708,0.379,23.9,39.1,31.5
26,Tui,Ribadelouro (Santa Comba),104.694,60.45,2.016,25.3,37.1,31.2
27,Poio,Poio (San Xoán),195.698,54.158,0.975,20.9,40.8,30.8
28,Meis,A Armenteira (Santa María),116.816,47.599,1.782,23.7,37.8,30.8
29,Tomiño,Barrantes (San Vicente),109.949,43.636,1.942,24.3,35.8,30.0
30,Ponteareas,Ribadetea (San Xurxo),147.229,54.846,1.171,21.1,39.0,30.0
31,Salceda de Caselas,Santo Estevo de Budiño (Santo Estevo),85.152,42.27,0.972,25.8,33.9,29.8
32,Sanxenxo,Noalla (Santo Estevo),250.199,48.759,0.139,19.9,38.2,29.0
33,Redondela,Cedeira (Santo André),148.244,51.397,2.92,19.7,37.1,28.4
34,A Cañiza,A Cañiza (Santa Teresa),122.189,52.348,0.471,20.0,36.8,28.4
35,Salvaterra de Miño,Alxén (San Paio),94.018,41.938,3.38,23.2,33.6,28.4
36,Mos,Cela (San Pedro),141.51,44.405,1.8,20.9,35.4,28.2
37,Ponteareas,Cristiñade (San Salvador),91.344,44.017,1.101,21.4,34.3,27.8
38,Moraña,Saiáns (San Salvador),127.234,46.47,0.825,20.6,34.0,27.3
