OBJECTID_12,sp,prohibida,n_px,ha_faixa,estado,anho_evento,caida,etiqueta
10698,Eucalyptus_globulus,True,165,0.0,evento,2019.0,0.327,prohibida_rebrote
10704,Pinus_pinaster,True,2661,0.012,persistente,,0.02,ifn_2010
10705,Pinus_pinaster,True,631,0.0,evento,2020.0,0.598,desconocida
10707,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10710,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10717,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10738,Pinus_pinaster,True,337,0.0,evento,2025.0,0.478,desconocida
10739,Quercus_robur,False,2727,0.0,persistente,,0.013,ifn_2010
10759,Pinus_radiata,True,0,0.0,sin_dato,,,sin_serie
10766,Pinus_pinaster,True,4884,0.0,persistente,,0.048,ifn_2010
10768,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10769,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10770,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10771,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10775,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10778,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10779,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10780,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10781,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10782,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10783,Eucalyptus_globulus,True,707,0.0,persistente,,0.036,ifn_2010
10784,Eucalyptus_globulus,True,363,0.0,persistente,,0.124,ifn_2010
10785,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10786,Quercus_robur,False,0,0.0,sin_dato,,,sin_serie
10787,Pinus_pinaster,True,1231,0.0,persistente,,0.054,ifn_2010
10788,Pinus_pinaster,True,705,0.0,persistente,,0.034,ifn_2010
10789,Eucalyptus_globulus,True,1080,0.0,persistente,,0.066,ifn_2010
10790,Eucalyptus_globulus,True,3845,0.0,persistente,,0.05,ifn_2010
10791,Eucalyptus_globulus,True,30569,0.0,persistente,,0.021,ifn_2010
10792,Pinus_pinaster,True,1651,0.0,persistente,,0.05,ifn_2010
10793,Pinus_pinaster,True,531,0.0,persistente,,0.125,ifn_2010
10794,Pinus_pinaster,True,205,0.0,persistente,,0.066,ifn_2010
10795,Eucalyptus_globulus,True,13769,0.0,persistente,,0.018,ifn_2010
10796,Pinus_pinaster,True,15203,0.0,persistente,,0.036,ifn_2010
10797,Eucalyptus_globulus,True,798,0.0,persistente,,0.147,ifn_2010
10798,Pinus_radiata,True,8049,0.0,persistente,,0.04,ifn_2010
10799,Pinus_radiata,True,628,0.0,evento,2019.0,0.252,desconocida
10800,Pinus_pinaster,True,1969,0.0,persistente,,0.06,ifn_2010
10801,Eucalyptus_globulus,True,183,0.0,persistente,,0.189,ifn_2010
10802,Pinus_pinaster,True,2046,0.0,persistente,,0.078,ifn_2010
10803,Pinus_pinaster,True,295,0.0,persistente,,0.026,ifn_2010
10804,Eucalyptus_globulus,True,3916,0.0,persistente,,0.072,ifn_2010
10805,Eucalyptus_globulus,True,2326,0.0,persistente,,0.026,ifn_2010
10806,Pinus_pinaster,True,1443,0.0,persistente,,0.049,ifn_2010
10807,Eucalyptus_globulus,True,464,0.0,persistente,,0.073,ifn_2010
10840,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10846,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10868,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
