faixa_id,capa,concello,parroquia,codparro,bloque,px_medidos,ha_medida,ha_poligono_en_bloque,h_mediana,h_p90,h_max,ha_sobre_2m,pct_sobre_2m,ha_sobre_3m,pct_sobre_3m,ha_sobre_5m,pct_sobre_5m,ha_sobre_5.5m,pct_sobre_5.5m,ha_sobre_8m,pct_sobre_8m,ha_sobre_10m,pct_sobre_10m,ha_sobre_35m,pct_sobre_35m
ill-266,illadas,Sanxenxo,Noalla (Santo Estevo),3605107.0,PNOA-2024-GAL-512-4700-H29-NPC01_chm.tif,290,0.029,0.0289,0.14,0.23,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc-424,nucleos,Sanxenxo,Vilalonga (San Pedro),3605109.0,PNOA-2024-GAL-512-4701-H29-NPC01_chm.tif,15560,1.556,1.555,0.22,2.69,11.07,0.3505,22.53,0.1378,8.86,0.0821,5.28,0.0707,4.54,0.023,1.48,0.0037,0.24,0.0,0.0
ill-64,illadas,Sanxenxo,Vilalonga (San Pedro),3605109.0,PNOA-2024-GAL-512-4701-H29-NPC01_chm.tif,26392,2.6392,2.6411,0.23,2.78,11.19,0.6361,24.1,0.2438,9.24,0.0969,3.67,0.0775,2.94,0.0249,0.94,0.0041,0.16,0.0,0.0
nuc-243,nucleos,O Rosal,San Miguel de Tabagón (San Miguel),3604803.0,PNOA-2024-GAL-513-4640-H29-NPC01_chm.tif,19856,1.9856,1.9856,0.12,3.11,14.34,0.3192,16.08,0.2072,10.44,0.1029,5.18,0.0931,4.69,0.0445,2.24,0.0161,0.81,0.0,0.0
nuc-613,nucleos,A Guarda,Salcidos (San Lourenzo),3602303.0,PNOA-2024-GAL-513-4640-H29-NPC01_chm.tif,1063,0.1063,0.1056,9.66,14.6,17.26,0.0753,70.84,0.0728,68.49,0.0709,66.7,0.0702,66.04,0.0629,59.17,0.0502,47.22,0.0,0.0
ill-224,illadas,A Guarda,Salcidos (San Lourenzo),3602303.0,PNOA-2024-GAL-513-4640-H29-NPC01_chm.tif,7604,0.7604,0.7607,0.37,4.42,14.11,0.158,20.78,0.1408,18.52,0.0506,6.65,0.0482,6.34,0.0212,2.79,0.0096,1.26,0.0,0.0
nuc-30,nucleos,O Rosal,O Rosal (Santa Mariña),3604802.0,PNOA-2024-GAL-513-4641-H29-NPC01_chm.tif,1966,0.1966,0.1971,0.2,5.7,8.78,0.0786,39.98,0.0713,36.27,0.0319,16.23,0.0243,12.36,0.0017,0.86,0.0,0.0,0.0,0.0
nuc-124,nucleos,O Rosal,San Miguel de Tabagón (San Miguel),3604803.0,PNOA-2024-GAL-513-4641-H29-NPC01_chm.tif,10213,1.0213,1.0206,0.12,4.96,13.72,0.1721,16.85,0.1467,14.36,0.1015,9.94,0.096,9.4,0.0623,6.1,0.0423,4.14,0.0,0.0
nuc-242,nucleos,O Rosal,O Rosal (Santa Mariña),3604802.0,PNOA-2024-GAL-513-4641-H29-NPC01_chm.tif,31460,3.146,3.1475,0.88,12.57,32.27,1.2355,39.27,1.0157,32.29,0.7577,24.08,0.7158,22.75,0.577,18.34,0.4686,14.9,0.0,0.0
nuc-243,nucleos,O Rosal,San Miguel de Tabagón (San Miguel),3604803.0,PNOA-2024-GAL-513-4641-H29-NPC01_chm.tif,47583,4.7583,4.76,0.27,4.06,13.72,1.1296,23.74,0.7247,15.23,0.3801,7.99,0.3579,7.52,0.1741,3.66,0.0865,1.82,0.0,0.0
nuc-589,nucleos,A Guarda,Salcidos (San Lourenzo),3602303.0,PNOA-2024-GAL-513-4641-H29-NPC01_chm.tif,98677,9.8677,9.8678,0.69,20.48,39.96,4.0778,41.32,3.777,38.28,3.4554,35.02,3.4004,34.46,3.11,31.52,2.8607,28.99,0.0363,0.37
nuc-613,nucleos,A Guarda,Salcidos (San Lourenzo),3602303.0,PNOA-2024-GAL-513-4641-H29-NPC01_chm.tif,28863,2.8863,2.8851,0.6,21.69,41.26,0.9881,34.23,0.8957,31.03,0.8039,27.85,0.7876,27.29,0.6952,24.09,0.626,21.69,0.0726,2.52
