concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
A Cañiza,As Achas (San Sebastián),137.711,45.913,27.293,24.516,18.62,37.967,33.34,17.8,27.57
A Guarda,Camposancos (Santa Isabel),91.856,32.99,25.114,24.467,7.876,30.157,35.91,26.64,32.83
Ponteareas,Nogueira (San Salvador),65.541,32.641,25.258,24.36,7.383,29.694,49.8,37.17,45.31
Salceda de Caselas,Santa María de Salceda (Santa María),116.824,41.015,24.871,24.235,16.144,35.897,35.11,20.74,30.73
Ponteareas,Arcos (San Breixo),70.019,37.493,27.44,24.095,10.053,31.358,53.55,34.41,44.78
Cangas,Aldán (San Cibrán),122.267,44.699,29.6,24.0,15.098,34.907,36.56,19.63,28.55
Salvaterra de Miño,Oleiros (Santa María),57.687,33.767,27.37,23.938,6.397,28.559,58.53,41.5,49.51
Salceda de Caselas,Parderrubias (San Tomé),101.106,34.932,25.485,23.479,9.448,30.304,34.55,23.22,29.97
A Cañiza,Parada das Achas (Santiago),156.856,76.245,52.339,23.339,23.906,40.609,48.61,14.88,25.89
Ponteareas,San Mateo de Oliveira (San Mateo),105.416,38.774,26.401,23.026,12.372,31.964,36.78,21.84,30.32
Mos,Petelos (San Mamede),84.694,37.832,25.08,22.601,12.752,31.813,44.67,26.69,37.56
Meis,Meis (San Salvador),88.656,28.014,23.446,22.402,4.568,25.702,31.6,25.27,28.99
Ponte Caldelas,Ponte Caldelas (Santa Eulalia),157.424,49.471,30.379,22.258,19.092,36.05,31.43,14.14,22.9
Tomiño,Sobrada (San Salvador),45.674,25.534,22.49,22.245,3.043,24.444,55.9,48.7,53.52
Cotobade,Sacos (San Xurxo),81.334,38.623,28.882,22.237,9.741,29.274,47.49,27.34,35.99
Vilagarcía de Arousa,Sobrán (San Martiño de Fóra),166.841,37.336,21.814,21.709,15.522,32.922,22.38,13.01,19.73
Mondariz,Toutón (San Mateo),88.776,41.086,31.998,21.7,9.088,28.265,46.28,24.44,31.84
Tomiño,Goián (San Cristovo),93.458,38.289,26.48,21.682,11.809,30.213,40.97,23.2,32.33
O Porriño,Cans (Santo Estevo),45.61,27.537,21.376,21.376,6.161,25.827,60.37,46.87,56.62
Mondariz,Lougares (San Fiz),85.884,49.192,32.916,21.283,16.276,33.041,57.28,24.78,38.47
Marín,Ardán (Santa María),103.206,36.323,24.991,21.273,11.333,29.46,35.19,20.61,28.54
Mos,Tameiga (San Martiño),118.959,44.132,22.97,21.188,21.162,36.475,37.1,17.81,30.66
Ponteareas,Fozara (San Bartolomeu),73.07,30.525,23.597,21.091,6.928,26.096,41.77,28.86,35.71
Gondomar,Mañufe (San Vicente),120.639,37.869,25.58,21.076,12.289,29.954,31.39,17.47,24.83
Mondariz,Vilar (San Mamede),57.269,28.61,25.576,20.992,3.033,23.184,49.96,36.66,40.48
Barro,Barro (San Breixo),71.663,32.985,26.958,20.914,6.027,25.268,46.03,29.18,35.26
Caldas de Reis,Santo André de Cesar (Santo André),93.716,37.304,28.503,20.799,8.801,27.157,39.81,22.19,28.98
Meis,Paradela (Santa María),96.898,38.587,25.544,20.794,13.042,30.216,39.82,21.46,31.18
As Neves,Taboexa (Santa María),98.596,36.12,22.462,20.77,13.658,30.637,36.63,21.07,31.07
Sanxenxo,Dorrón (San Xoán),94.553,30.098,20.875,20.767,9.223,27.43,31.83,21.96,29.01
Ponteareas,Guillade (San Miguel),98.845,36.398,21.781,20.551,14.617,31.11,36.82,20.79,31.47
Meis,Nogueira (San Vicente),83.531,29.395,22.136,20.334,7.259,25.578,35.19,24.34,30.62
Gondomar,Vincios (Santa Mariña),106.848,34.155,22.15,20.291,12.005,28.963,31.97,18.99,27.11
Covelo,Barcia de Mera (San Martiño),102.208,52.666,35.488,20.251,17.178,32.661,51.53,19.81,31.95
