puesto,concello,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
1,A Cañiza,1132.782,445.38,4.635,148.3,239.1,193.6
2,Crecente,579.448,300.33500000000004,6.497,97.6,158.7,128.2
3,Arbo,503.231,153.543,2.93,52.1,91.7,71.8
4,Covelo,632.604,267.515,2.155,55.4,84.5,70.2
