concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
O Rosal,As Eiras (San Bartolomeu),27.745,12.742,10.089,10.016,2.653,11.932,45.93,36.1,43.01
Gondomar,Chaín (Santa María),63.521,18.967,12.004,9.976,6.963,15.006,29.86,15.71,23.62
O Rosal,San Miguel de Tabagón (San Miguel),31.873,11.548,9.959,9.899,1.589,11.047,36.23,31.06,34.66
Crecente,A Ameixeira (San Bernabeu),36.542,16.895,12.027,9.866,4.868,13.383,46.24,27.0,36.62
Soutomaior,Arcade (Santiago),82.937,18.974,10.392,9.857,8.582,16.057,22.88,11.88,19.36
Baiona,Baredo (Santa María),54.865,15.648,9.78,9.78,5.868,14.019,28.52,17.83,25.55
A Cañiza,Luneda (Santa María),63.772,25.198,10.855,9.727,14.343,20.088,39.51,15.25,31.5
Catoira,Oeste (Santa Baia),51.4,17.497,10.831,9.724,6.666,14.539,34.04,18.92,28.29
Arbo,Cequeliños (San Miguel),48.078,15.693,11.676,9.625,4.017,12.526,32.64,20.02,26.05
Ponteareas,Arnoso (San Lourenzo),37.621,14.274,11.021,9.619,3.254,11.969,37.94,25.57,31.81
Cotobade,Almofrei (San Lourenzo),29.894,18.858,15.902,9.602,2.956,11.738,63.08,32.12,39.27
Mondariz,Gargamala (Santa María),76.324,31.144,18.762,9.444,12.382,9.778,40.81,12.37,12.81
Sanxenxo,Gondar (San Tomé),75.402,17.202,11.293,9.414,5.909,13.683,22.81,12.49,18.15
Caldas de Reis,Carracedo (Santa Mariña),75.52,16.715,9.696,9.381,7.019,14.452,22.13,12.42,19.14
Tomiño,Currás (San Martiño),24.823,13.06,11.016,9.332,2.043,10.809,52.61,37.59,43.54
Tomiño,Figueiró (San Martiño),25.024,12.012,10.761,9.325,1.252,10.229,48.0,37.26,40.88
Redondela,Negros (Santo Estevo),67.534,20.984,12.448,10.833,8.536,11.342,31.07,16.04,16.79
Moraña,Laxe (San Martiño),58.036,18.36,11.725,9.25,6.635,14.043,31.64,15.94,24.2
Crecente,Quintela (San Caetano),33.483,15.456,13.255,9.241,2.201,10.831,46.16,27.6,32.35
Lalín,Lalín (Santa María das Dores),137.994,47.379,27.097,9.22,20.282,23.872,34.33,6.68,17.3
Vilanova de Arousa,Caleiro (Santa María),146.788,21.814,9.237,9.176,12.577,18.262,14.86,6.25,12.44
Forcarei,Forcarei (San Martiño),106.433,46.954,27.269,10.256,19.685,11.242,44.12,9.64,10.56
Marín,Mogor (San Xurxo),29.564,12.823,10.052,9.009,2.772,11.011,43.38,30.47,37.24
A Lama,Xende (San Paulo),36.567,20.656,16.356,9.653,4.3,9.947,56.49,26.4,27.2
Oia,Burgueira (San Pedro),60.627,15.098,10.04,8.909,5.058,12.563,24.9,14.69,20.72
Redondela,Cabeiro (San Xoán),56.262,18.545,9.906,8.869,8.639,8.989,32.96,15.76,15.98
A Estrada,Orazo (San Pedro),92.591,18.648,10.054,15.076,8.595,16.29,20.14,16.28,17.59
Campo Lameiro,O Couso (San Cristovo),54.506,16.158,10.917,8.823,5.241,12.609,29.64,16.19,23.13
Silleda,Manduas (San Tirso),129.933,29.5,10.977,8.795,18.524,22.176,22.7,6.77,17.07
Lalín,Vilatuxe (San Lourenzo),135.429,37.676,21.716,9.233,15.96,10.526,27.82,6.82,7.77
Oia,Mougás (Santa Uxía),52.857,13.426,8.76,8.76,4.667,12.131,25.4,16.57,22.95
Oia,Pedornes (San Mamede),33.282,14.513,8.706,8.706,5.807,12.901,43.61,26.16,38.76
Ponte Caldelas,Anceu (Santo André),38.37,18.866,11.708,8.701,7.158,9.009,49.17,22.68,23.48
Vilagarcía de Arousa,Cea (San Pedro),111.355,29.016,9.214,8.665,19.801,22.97,26.06,7.78,20.63
Tomiño,Estás (Santiago),34.068,15.149,10.452,8.575,4.697,11.969,44.47,25.17,35.13
Ponteareas,Fontenla (San Mamede),44.782,18.464,11.424,8.567,7.04,13.653,41.23,19.13,30.49
Barro,Curro (Santa María),53.491,17.126,8.636,8.512,8.489,14.645,32.02,15.91,27.38
Cotobade,Valongo (Santo André),34.664,19.696,14.638,8.928,5.058,9.159,56.82,25.76,26.42
Silleda,Cira (Santa Baia),61.896,19.029,12.264,13.161,6.764,13.465,30.74,21.26,21.75
A Lama,Antas (Santiago),43.485,26.958,23.588,8.606,3.37,8.921,61.99,19.79,20.51
Redondela,Quintela (San Mamede),99.126,23.172,8.492,13.232,14.68,15.752,23.38,13.35,15.89
Silleda,Dornelas (San Martiño),45.069,13.487,9.684,11.74,3.803,11.922,29.92,26.05,26.45
A Lama,Verducido (San Martiño),46.403,25.434,18.362,10.519,7.072,10.815,54.81,22.67,23.31
Vilanova de Arousa,Deiro (San Miguel),116.397,19.837,8.12,8.12,11.716,16.584,17.04,6.98,14.25
A Estrada,Riobó (San Martiño),62.88,21.081,12.056,8.085,9.025,14.604,33.53,12.86,23.23
Gondomar,Peitieiros (San Miguel),71.137,20.692,8.647,8.084,12.046,16.786,29.09,11.36,23.6
Cotobade,Sacos (Santa María),52.259,25.618,18.792,8.051,6.826,12.982,49.02,15.41,24.84
Salvaterra de Miño,Uma (Santo André),42.468,21.096,12.082,8.05,9.014,14.561,49.67,18.96,34.29
A Estrada,Callobre (San Martiño),123.373,24.69,11.036,8.031,13.654,17.894,20.01,6.51,14.5
A Estrada,Ouzande (San Lourenzo),93.79,32.51,20.566,8.011,11.945,16.64,34.66,8.54,17.74
Meaño,Lores (San Miguel),69.137,11.606,8.741,7.947,2.865,10.017,16.79,11.49,14.49
Salvaterra de Miño,Vilacova (San Xoán),38.674,20.876,14.477,7.907,6.399,12.53,53.98,20.45,32.4
A Estrada,Toedo (San Pedro),58.909,15.27,9.816,7.861,5.454,11.801,25.92,13.34,20.03
A Estrada,Loimil (Santa María),69.687,16.531,9.064,13.668,7.467,14.171,23.72,19.61,20.33
A Estrada,Curantes (San Miguel),66.756,21.997,14.168,7.762,7.83,13.418,32.95,11.63,20.1
Catoira,Catoira (San Miguel),43.546,12.314,8.714,7.604,3.6,10.204,28.28,17.46,23.43
Cuntis,Arcos (San Breixo),85.281,19.782,11.714,7.565,8.068,13.393,23.2,8.87,15.7
Cambados,Oubiña (San Vicenzo),59.078,10.705,7.648,7.52,3.057,9.728,18.12,12.73,16.47
As Neves,Tortoreos (Santiago),72.791,17.448,10.026,7.519,7.422,12.881,23.97,10.33,17.7
Meaño,Meaño (San Xoán),46.297,9.556,7.504,7.504,2.052,8.987,20.64,16.21,19.41
Baiona,Baiona (Santa María),19.255,7.698,7.498,7.498,0.2,7.643,39.98,38.94,39.69
Ponteareas,Cumiar (Santo Estevo),38.313,17.442,11.154,9.05,6.288,9.338,45.53,23.62,24.37
A Estrada,Santa Cristina de Vea (Santa Cristina),81.756,18.271,9.828,7.441,8.443,13.54,22.35,9.1,16.56
Vilagarcía de Arousa,O Carril (Santiago de Fóra),71.7,19.398,7.668,7.388,11.73,15.862,27.05,10.3,22.12
A Estrada,Santeles (San Xoán),101.996,21.582,11.956,7.251,9.626,14.205,21.16,7.11,13.93
Lalín,Bendoiro (San Miguel),71.761,24.708,14.066,7.242,10.642,14.93,34.43,10.09,20.81
A Estrada,Lagartóns (Santo Estevo),47.532,14.721,10.666,7.18,4.056,10.11,30.97,15.11,21.27
Vilanova de Arousa,András (San Lourenzo),55.321,12.553,7.618,7.126,4.935,10.691,22.69,12.88,19.33
Ribadumia,Ribadumia (Santa Baia),131.277,14.96,7.965,7.099,6.995,12.152,11.4,5.41,9.26
Tomiño,Pinzás (Santa María),24.209,9.633,6.946,6.946,2.687,8.887,39.79,28.69,36.71
As Neves,As Neves (Santa María),52.285,14.146,8.084,6.942,6.062,11.321,27.06,13.28,21.65
As Neves,Santiago de Ribarteme (Santiago),51.025,14.233,8.811,6.877,5.422,10.794,27.89,13.48,21.15
A Estrada,Remesar (San Cristovo),37.393,13.219,8.017,9.387,5.202,11.125,35.35,25.1,29.75
Portas,Briallos (San Cristovo),63.772,14.967,9.024,11.726,5.943,12.466,23.47,18.39,19.55
Ponteareas,San Lourenzo de Oliveira (San Lourenzo),33.941,16.914,9.413,9.556,7.501,9.868,49.83,28.16,29.07
Cuntis,Estacas (San Fiz),42.114,11.626,8.235,6.725,3.391,9.174,27.6,15.97,21.78
Moaña,Meira (Santa Eulalia),56.865,13.968,6.734,6.656,7.234,11.882,24.56,11.7,20.9
Fornelos de Montes,As Estacas (Santa María),37.778,15.545,11.188,6.719,4.357,6.958,41.15,17.79,18.42
O Rosal,Tabagón (San Xoán),22.035,7.724,6.594,6.594,1.13,7.41,35.05,29.93,33.63
A Estrada,Aguións (Santa María),61.971,13.728,9.31,6.591,4.418,9.783,22.15,10.64,15.79
Campo Lameiro,Moimenta (Santa María),45.434,14.366,6.896,6.573,7.47,11.969,31.62,14.47,26.34
Ponte Caldelas,Caritel (Santa María),51.61,19.771,12.573,6.549,7.198,6.902,38.31,12.69,13.37
Ponte Caldelas,Forzáns (San Fiz),28.182,13.358,8.546,8.224,4.812,8.47,47.4,29.18,30.06
A Estrada,Couso (Santa María),48.015,14.745,8.884,6.428,5.861,10.663,30.71,13.39,22.21
Nigrán,Parada (Santiago),48.178,13.667,8.241,6.261,5.426,10.181,28.37,13.0,21.13
Lalín,Filgueira (Santa María),124.701,37.838,19.39,6.254,18.448,19.581,30.34,5.02,15.7
Marín,Seixo (Nosa Señora do Carme),37.727,12.818,8.269,6.242,4.549,9.528,33.98,16.55,25.26
Nigrán,A Ramallosa (San Pedro),82.602,18.648,6.439,6.223,12.209,15.043,22.58,7.53,18.21
Covelo,Maceira (San Salvador),77.649,30.618,16.771,6.176,13.847,7.791,39.43,7.95,10.03
Baiona,Santa Cristina da Ramallosa (Santa Cristina),25.362,9.903,6.167,6.167,3.736,8.866,39.05,24.32,34.96
Fornelos de Montes,Ventín (San Miguel),43.845,16.528,11.004,6.132,5.524,6.184,37.7,13.99,14.1
Oia,Loureza (San Mamede),44.162,15.025,9.615,6.066,5.41,9.975,34.02,13.74,22.59
Silleda,Lamela (San Miguel),79.712,19.808,8.832,8.833,10.976,14.772,24.85,11.08,18.53
Meaño,Padrenda (San Martiño),64.157,9.004,6.042,6.042,2.962,8.182,14.03,9.42,12.75
Cuntis,Portela (Santa Eulalia),50.055,12.087,7.071,6.01,5.015,9.633,24.15,12.01,19.24
Redondela,Redondela (Santiago),57.384,16.82,6.022,5.984,10.798,13.784,29.31,10.43,24.02
Covelo,Casteláns (Santo Estevo),43.512,21.242,13.413,6.358,7.829,6.737,48.82,14.61,15.48
Oia,Viladesuso (San Miguel),23.993,8.202,6.034,5.912,2.168,7.478,34.19,24.64,31.17
Cotobade,Rebordelo (San Martiño),43.299,22.929,16.321,7.107,6.608,7.698,52.95,16.41,17.78
Salvaterra de Miño,Lourido (Santo André),18.114,7.589,6.42,5.758,1.17,6.603,41.9,31.79,36.45
Meaño,Covas (Santa Cristina),42.24,8.071,6.132,5.728,1.939,7.129,19.11,13.56,16.88
Sanxenxo,Arra (San Amaro),41.655,8.787,5.661,5.661,3.125,7.919,21.09,13.59,19.01
A Estrada,Rubín (Santa María),87.842,16.539,6.923,5.64,9.616,12.587,18.83,6.42,14.33
Mondariz,Queimadelos (Santa María),18.293,8.394,6.535,6.535,1.859,6.623,45.89,35.73,36.21
Mondariz-Balneario,Mondariz-Balneario (Nosa Señora de Lurdes),39.189,19.037,9.381,6.898,9.656,7.336,48.58,17.6,18.72
Silleda,Abades (Santa María),51.71,14.855,7.357,5.612,7.499,11.029,28.73,10.85,21.33
Lalín,O Cello (San Martiño),102.568,23.815,11.243,5.592,12.572,14.674,23.22,5.45,14.31
Moaña,Tirán (San Xoán),53.928,16.932,7.264,5.563,9.667,12.546,31.4,10.32,23.26
As Neves,Batalláns (Santa Eulalia),41.761,17.027,11.735,5.727,5.292,8.792,40.77,13.71,21.05
A Lama,Escuadra (San Lourenzo),56.807,22.048,12.204,8.123,9.844,8.639,38.81,14.3,15.21
Valga,Campaña (Santa Cristina),66.258,17.945,9.662,13.429,8.282,13.641,27.08,20.27,20.59
Pontecesures,Pontecesures (San Xulián),64.841,18.113,6.61,12.878,11.504,15.113,27.94,19.86,23.31
Lalín,Galegos (San Miguel),47.176,11.68,5.802,5.386,5.878,9.632,24.76,11.42,20.42
A Estrada,Lamas (San Breixo),49.294,11.024,6.543,5.383,4.481,8.62,22.36,10.92,17.49
A Estrada,Frades (Santa María),38.261,9.466,6.428,6.375,3.037,7.336,24.74,16.66,19.17
Cambados,Corvillón (San Amedio),119.822,13.192,5.34,5.34,7.852,11.012,11.01,4.46,9.19
A Estrada,Tabeirós (Santiago),66.462,16.299,9.266,5.641,7.033,10.401,24.52,8.49,15.65
Silleda,Escuadro (San Salvador),124.519,24.541,10.854,8.444,13.687,9.163,19.71,6.78,7.36
Cotobade,Loureiro (Santiago),40.427,24.577,15.587,5.614,8.99,8.779,60.79,13.89,21.71
A Lama,Covelo (San Sebastián),66.67,30.282,22.905,5.731,7.377,9.837,45.42,8.6,14.75
A Estrada,San Xiao de Vea (San Xiao),64.223,16.591,9.113,5.261,7.478,10.663,25.83,8.19,16.6
Tomiño,Forcadela (San Pedro),35.28,9.289,5.844,5.19,3.445,7.678,26.33,14.71,21.76
A Estrada,Barbude (San Martiño),33.352,10.34,7.434,5.187,2.905,7.286,31.0,15.55,21.85
Cuntis,Cequeril (Santa María),47.597,15.536,9.278,5.175,6.257,9.695,32.64,10.87,20.37
A Guarda,A Guarda (Santa María),23.176,6.315,5.173,5.173,1.141,5.998,27.25,22.32,25.88
Redondela,Ventosela (San Martiño),61.252,13.959,5.205,5.167,8.754,11.491,22.79,8.44,18.76
Ponte Caldelas,Xustáns (San Martiño),64.732,14.702,8.874,5.65,5.828,9.332,22.71,8.73,14.42
Lalín,Donramiro (Santa María),99.687,35.144,20.797,4.998,14.346,15.362,35.25,5.01,15.41
Moraña,Amil (San Mamede),64.173,15.29,7.425,4.949,7.864,10.63,23.83,7.71,16.56
A Estrada,Nigoi (Santa María),53.027,16.224,8.798,4.944,7.426,10.308,30.6,9.32,19.44
Lalín,Botos (San Xoán),138.095,47.311,28.455,4.928,18.856,18.55,34.26,3.57,13.43
Oia,Oia (Santa María),26.341,7.88,4.877,4.877,3.003,7.047,29.92,18.51,26.75
Arbo,Cabeiras (San Sebastián),45.373,12.276,7.507,5.281,4.769,8.434,27.06,11.64,18.59
A Estrada,Paradela (Santa María),37.944,12.12,7.243,4.849,4.878,8.373,31.94,12.78,22.07
Lalín,Prado (San Martiño),47.481,15.969,9.502,4.834,6.466,9.505,33.63,10.18,20.02
Campo Lameiro,Montes (San Isidro),28.143,10.231,6.805,4.78,3.426,7.255,36.35,16.98,25.78
Lalín,Castro de Cabras (San Pedro),80.655,14.358,7.149,4.621,7.209,9.828,17.8,5.73,12.19
Lalín,Val do Carrio (Santo André),25.564,9.695,7.468,4.616,2.228,6.225,37.93,18.06,24.35
Arbo,Sela (Santa María),46.732,14.76,6.417,4.614,8.343,10.64,31.58,9.87,22.77
Lalín,Cercio (Santiago),71.986,18.787,8.454,4.598,10.333,12.063,26.1,6.39,16.76
Ribadumia,Leiro (San Xoán),70.054,10.432,5.582,4.596,4.851,8.1,14.89,6.56,11.56
A Estrada,Arca (San Miguel),49.752,11.206,7.064,4.587,4.142,7.579,22.52,9.22,15.23
A Estrada,Santo André de Vea (Santo André),90.839,13.302,5.666,4.58,7.636,10.097,14.64,5.04,11.12
Nigrán,Chandebrito (San Xosé),32.783,7.837,5.222,4.557,2.615,6.446,23.9,13.9,19.66
Covelo,Paraños (Santa María),39.938,13.521,6.168,4.55,7.353,9.655,33.85,11.39,24.17
Lalín,Doade (San Pedro),61.755,21.483,14.816,4.444,6.667,4.533,34.79,7.2,7.34
A Estrada,Agar (Santa Mariña),47.827,10.511,5.28,4.8,5.231,7.869,21.98,10.04,16.45
Pazos de Borbén,A Ermida (Nosa Señora da Anunciación),12.416,6.879,5.958,4.39,0.922,5.056,55.4,35.36,40.72
Arbo,Barcela (San Xoán),59.598,14.047,4.946,4.362,9.102,10.937,23.57,7.32,18.35
Lalín,Busto (San Facundo),19.711,6.95,5.761,4.19,1.189,5.049,35.26,21.26,25.62
Lalín,Moimenta (San Lourenzo),37.647,11.436,5.495,4.148,5.941,8.44,30.38,11.02,22.42
Moraña,San Lourenzo de Moraña (San Lourenzo),35.542,10.296,5.033,4.136,5.264,7.938,28.97,11.64,22.33
Ponteareas,Paredes (San Cibrán),21.148,6.698,4.862,4.679,1.835,4.848,31.67,22.13,22.92
Vilagarcía de Arousa,Solobeira (San Fins),26.283,6.323,4.306,4.073,2.017,5.53,24.06,15.5,21.04
Lalín,Noceda (Santa María),53.785,13.454,7.592,4.062,5.862,8.297,25.01,7.55,15.43
A Lama,Seixido (San Bartolomeu),85.569,44.321,36.931,4.023,7.39,9.361,51.8,4.7,10.94
Silleda,Moalde (San Mamede),66.203,14.248,6.213,4.597,8.035,7.023,21.52,6.94,10.61
Silleda,Margaride (San Fiz),42.129,10.756,5.53,4.535,5.225,6.458,25.53,10.77,15.33
Moraña,Gargantáns (San Martiño),26.424,6.118,4.753,3.93,1.365,4.916,23.15,14.87,18.6
Lalín,Cadrón (Santo Estevo),35.535,10.963,6.19,3.917,4.773,7.365,30.85,11.02,20.73
Lalín,Bermés (Santa María),89.98,25.657,8.806,3.911,16.851,16.084,28.51,4.35,17.88
Crecente,Sendelle (Santa Cruz),20.606,13.875,8.822,3.89,5.053,7.54,67.33,18.88,36.59
A Estrada,San Pedro de Ancorados (San Pedro),54.816,11.712,5.623,3.889,6.089,8.288,21.37,7.09,15.12
Silleda,Siador (San Miguel),54.682,15.665,7.907,3.903,7.758,9.307,28.65,7.14,17.02
A Estrada,San Tomé de Ancorados (San Tomé),38.073,7.999,4.388,3.856,3.61,6.464,21.01,10.13,16.98
Lalín,Zobra (Santa Mariña),42.327,14.578,9.468,4.379,5.11,6.382,34.44,10.35,15.08
A Estrada,Cereixo (San Xurxo),45.611,8.946,4.775,4.024,4.171,6.849,19.61,8.82,15.02
Cerdedo,Quireza (San Tomé),56.211,14.243,6.533,6.978,7.71,8.171,25.34,12.41,14.54
Cerdedo,Folgoso (Santa María),41.319,15.852,8.828,7.182,7.023,7.451,38.36,17.38,18.03
Forcarei,A Madanela de Montes (Santa María Madanela),57.736,24.593,12.932,3.679,11.661,9.467,42.6,6.37,16.4
Cambados,Vilariño (Santo Adrián),178.393,12.901,3.644,3.644,9.257,10.331,7.23,2.04,5.79
Lalín,A Xesta (San Fiz),69.737,26.319,15.708,4.717,10.611,5.187,37.74,6.76,7.44
Lalín,Méixome (Santiago),36.977,7.753,5.217,3.635,2.536,5.467,20.97,9.83,14.78
Cuntis,Couselo (San Miguel),28.106,6.836,4.679,3.621,2.157,5.179,24.32,12.88,18.43
Silleda,Negreiros (San Martiño),59.468,11.759,4.249,4.395,7.51,8.147,19.77,7.39,13.7
Pazos de Borbén,Moscoso (San Paio),22.166,6.132,4.113,3.572,2.019,3.573,27.66,16.11,16.12
Agolada,Ferreiroa (San Pedro),45.212,10.901,4.099,3.536,6.803,8.451,24.11,7.82,18.69
Vilagarcía de Arousa,Arealonga (Santa Baia),78.267,18.06,3.674,3.509,14.386,13.901,23.07,4.48,17.76
Silleda,Piñeiro (San Xiao),65.601,11.198,4.807,3.91,6.391,8.215,17.07,5.96,12.52
Agolada,A Baíña (San Pedro),12.96,5.098,3.813,3.474,1.285,4.402,39.34,26.81,33.97
Forcarei,Pardesoa (Santiago),36.901,18.281,12.54,3.469,5.741,7.616,49.54,9.4,20.64
As Neves,San Pedro de Batalláns (San Pedro),26.374,12.199,9.278,3.467,2.921,5.578,46.25,13.15,21.15
Meaño,Simes (Santa María),62.428,8.352,3.597,3.392,4.755,6.827,13.38,5.43,10.94
Lalín,Catasós (Santiago),131.452,35.846,17.459,3.63,18.386,14.721,27.27,2.76,11.2
As Neves,Cerdeira (San Xoán),27.781,8.812,4.954,6.051,3.858,6.853,31.72,21.78,24.67
Lalín,Madriñán (Santo Adrao),36.409,9.38,4.227,3.292,5.152,7.014,25.76,9.04,19.26
Fornelos de Montes,Calvos (Santo Adrián),32.768,11.516,7.379,4.741,4.137,4.898,35.14,14.47,14.95
Covelo,O Piñeiro (San Xoán),25.587,7.631,4.852,3.234,2.779,3.316,29.82,12.64,12.96
A Estrada,Cora (San Miguel),56.058,11.255,7.112,3.195,4.143,6.188,20.08,5.7,11.04
Lalín,Rodís (San Xiao),30.962,7.674,4.33,3.172,3.344,5.588,24.78,10.24,18.05
As Neves,Liñares (Santa María),35.517,9.079,3.465,3.109,5.613,7.164,25.56,8.75,20.17
Nigrán,Panxón (San Xoán),62.444,13.363,3.188,3.085,10.175,10.435,21.4,4.94,16.71
Agolada,Artoño (Santalla),14.116,5.885,3.082,3.082,2.803,5.107,41.69,21.83,36.18
A Estrada,Olives (Santa María),33.918,9.767,6.175,3.059,3.592,5.654,28.8,9.02,16.67
Cerdedo,Parada (San Pedro),20.091,10.796,6.846,3.049,3.949,3.052,53.74,15.18,15.19
Silleda,Rellas (San Martiño),41.084,9.456,4.857,4.948,4.599,5.227,23.02,12.04,12.72
Silleda,Parada (San Tomé),47.736,10.251,4.604,4.473,5.647,4.813,21.48,9.37,10.08
Agolada,Eidián (Santiago),23.233,7.31,3.916,6.103,3.394,6.256,31.46,26.27,26.93
A Estrada,Souto (Santo André),55.897,15.051,6.614,3.026,8.436,9.12,26.93,5.41,16.32
Silleda,Breixa (Santiago),42.496,9.493,3.849,3.025,5.644,7.102,22.34,7.12,16.71
Ponte Caldelas,Castro Barbudo (Santa María),16.198,5.602,3.981,3.568,1.62,3.645,34.58,22.03,22.5
Lalín,Anzo (San Xoán),40.678,7.403,3.658,3.007,3.745,5.712,18.2,7.39,14.04
Silleda,Chapa (San Cibrao),35.339,7.658,3.321,3.77,4.338,5.482,21.67,10.67,15.51
Silleda,Fiestras (San Martiño),34.194,7.294,4.79,3.326,2.504,3.416,21.33,9.73,9.99
A Estrada,A Somoza (Santo André),46.411,10.437,5.954,2.949,4.483,6.187,22.49,6.35,13.33
Pazos de Borbén,Pazos (Santa María),32.029,10.836,5.265,2.933,5.572,6.958,33.83,9.16,21.72
A Estrada,Parada (San Pedro),55.292,11.878,4.428,4.772,7.45,5.091,21.48,8.63,9.21
Silleda,Cortegada (Santa María),72.36,15.983,8.418,5.373,7.565,6.178,22.09,7.43,8.54
Silleda,Graba (Santa María),59.559,12.686,6.977,4.036,5.709,4.32,21.3,6.78,7.25
Cerdedo,Figueiroa (San Martiño),36.694,12.712,7.048,2.829,5.664,3.914,34.64,7.71,10.67
Forcarei,Millarada (San Amedio),95.372,31.568,15.562,3.482,16.006,4.314,33.1,3.65,4.52
Lalín,Gresande (Santiago),53.287,14.856,8.14,2.731,6.716,7.582,27.88,5.13,14.23
A Estrada,Ribela (Santa Mariña),47.874,11.187,6.359,3.442,4.828,3.682,23.37,7.19,7.69
Lalín,Cangas (Santa Mariña),36.134,7.721,3.516,2.674,4.205,5.711,21.37,7.4,15.81
Lalín,Soutolongo (Santa María),89.465,30.856,16.653,2.662,14.203,4.035,34.49,2.98,4.51
Ribadumia,Barrantes (Santo André),81.482,7.968,2.684,2.561,5.284,6.379,9.78,3.14,7.83
Lalín,Goiás (San Miguel),140.695,30.72,9.22,2.529,21.5,18.06,21.83,1.8,12.84
Lalín,Santiso (San Román),56.8,9.475,3.822,2.472,5.653,6.556,16.68,4.35,11.54
Lalín,Alemparte (Santa María),14.988,3.615,2.468,2.464,1.146,3.292,24.12,16.44,21.96
Ribadumia,Besomaño (Santa María),31.959,3.906,2.467,2.407,1.438,3.446,12.22,7.53,10.78
Lalín,Xaxán (Santa María da Saleta),53.289,15.402,7.925,2.35,7.477,7.752,28.9,4.41,14.55
Lalín,A Veiga (San Ramón),59.8,10.251,3.416,2.343,6.835,7.281,17.14,3.92,12.18
Agolada,Brocos (San Miguel),14.778,5.327,2.916,2.333,2.41,4.074,36.05,15.79,27.57
Silleda,Taboada (Santiago),47.718,12.606,8.566,2.321,4.039,5.239,26.42,4.86,10.98
Agolada,Berredo (Santa María),22.148,6.956,2.797,2.983,4.159,5.276,31.41,13.47,23.82
Silleda,Vilar (San Martiño),29.242,9.489,6.456,2.287,3.033,4.478,32.45,7.82,15.31
Moraña,Cosoirado (Santa María),7.914,3.435,2.833,2.247,0.602,2.682,43.4,28.39,33.89
Agolada,Santa Comba (San Xoán),19.499,3.784,2.529,2.235,1.254,3.141,19.4,11.46,16.11
A Estrada,Barcala (Santa Mariña),20.482,6.301,3.02,3.164,3.28,4.474,30.76,15.45,21.85
Cerdedo,Tomonde (Santa María),26.282,10.529,6.577,2.349,3.952,2.553,40.06,8.94,9.71
Agolada,Órrea (Santo André),9.789,3.739,2.211,2.211,1.528,3.315,38.19,22.59,33.86
Ponte Caldelas,Taboadelo (Santiago),17.463,5.038,3.642,2.161,1.396,3.17,28.85,12.37,18.15
Lalín,Lebozán (Santiago),52.628,18.198,10.686,3.02,7.512,3.443,34.58,5.74,6.54
Agolada,Borraxeiros (San Cristovo),55.102,13.309,4.469,2.371,8.84,8.247,24.15,4.3,14.97
Forcarei,Dúas Igrexas (Santa María),57.563,14.623,7.546,2.102,7.077,2.169,25.4,3.65,3.77
Cotobade,Corredoira (San Gregorio),37.872,12.724,4.932,2.004,7.791,7.633,33.6,5.29,20.15
Covelo,A Lamosa (San Bartolomeu),28.014,11.946,7.263,2.002,4.683,5.385,42.64,7.15,19.22
A Estrada,San Miguel de Barcala (San Miguel),32.342,6.664,2.793,1.999,3.87,4.795,20.6,6.18,14.83
Forcarei,Santa Mariña de Presqueiras (Santa Mariña),30.351,14.61,9.676,2.085,4.934,3.32,48.14,6.87,10.94
A Estrada,Baloira (San Salvador),27.113,6.123,3.584,1.985,2.539,3.819,22.58,7.32,14.09
Pazos de Borbén,Xunqueiras (San Salvador),23.649,5.87,3.51,1.959,2.36,1.963,24.82,8.28,8.3
Lalín,Parada (Santa María),34.694,5.792,2.034,1.939,3.758,4.654,16.7,5.59,13.41
Lalín,Palmou (San Xoán),43.709,8.222,3.901,1.897,4.321,5.018,18.81,4.34,11.48
Campo Lameiro,Morillas (Santiago),12.597,4.498,2.792,1.861,1.705,3.093,35.7,14.77,24.55
Silleda,Martixe (San Cristovo),30.577,5.813,3.17,1.857,2.643,3.767,19.01,6.07,12.32
Ribadumia,Sisán (San Clemenzo),78.702,7.68,2.582,1.838,5.098,5.521,9.76,2.34,7.02
Silleda,Cervaña (San Salvador),27.138,5.435,2.316,3.875,3.119,4.223,20.03,14.28,15.56
A Estrada,Pardemarín (Santa Baia),40.37,9.893,5.074,2.146,4.818,4.042,24.51,5.32,10.01
A Cañiza,A Franqueira (Santa María),37.028,10.843,6.094,3.666,4.749,4.713,29.28,9.9,12.73
Cerdedo,Pedre (Santo Estevo),15.759,6.317,4.019,1.78,2.298,3.44,40.08,11.3,21.83
Cerdedo,Castro (Santa Baia),23.513,8.333,3.895,2.048,4.438,2.384,35.44,8.71,10.14
Cotobade,Caroi (Santiago),41.908,11.688,7.499,1.722,4.188,4.748,27.89,4.11,11.33
Fornelos de Montes,Traspielas (Santa María),48.004,7.054,2.864,1.719,4.189,1.77,14.69,3.58,3.69
Agolada,Brántega (San Lourenzo),22.834,6.288,2.907,1.631,3.38,4.073,27.54,7.14,17.84
Lalín,Maceira (San Martiño),74.324,16.037,6.566,1.628,9.471,8.47,21.58,2.19,11.4
A Lama,A Barcia do Seixo (Santa Ana),76.156,26.28,14.593,1.617,11.687,10.06,34.51,2.12,13.21
