id,orden,x,y,chm_m,estrato,peso_m2,bloque
p0230,222,567580.5,4671811.5,22.809999465942383,"[15,35)",161177.83,PNOA-2024-GAL-567-4672-H29-NPC01
p0153,223,559235.5,4669522.5,5.769999980926514,"[5.5,8)",29787.58,PNOA-2024-GAL-559-4670-H29-NPC01
p0060,224,556098.5,4685439.5,3.869999885559082,"[2,5.5)",77574.83,PNOA-2024-GAL-556-4686-H29-NPC01
p0137,225,558400.5,4670174.5,6.949999809265137,"[5.5,8)",29787.58,PNOA-2024-GAL-558-4671-H29-NPC01
p0105,226,562546.5,4676844.5,7.96999979019165,"[5.5,8)",29787.58,PNOA-2024-GAL-562-4677-H29-NPC01
p0198,227,554488.5,4669947.5,13.010000228881836,"[8,15)",100390.24,PNOA-2024-GAL-554-4670-H29-NPC01
p0040,228,558001.5,4668425.5,3.380000114440918,"[2,5.5)",77574.83,PNOA-2024-GAL-558-4669-H29-NPC01
p0176,229,558346.5,4665806.5,14.199999809265137,"[8,15)",100390.24,PNOA-2024-GAL-558-4666-H29-NPC01
p0180,230,557746.5,4678305.5,11.229999542236328,"[8,15)",100390.24,PNOA-2024-GAL-557-4679-H29-NPC01
p0244,231,551949.5,4675284.5,38.72999954223633,"[35,inf)",10402.6,PNOA-2024-GAL-551-4676-H29-NPC01
p0159,232,556230.5,4682916.5,7.800000190734863,"[5.5,8)",29787.58,PNOA-2024-GAL-556-4683-H29-NPC01
p0063,233,554772.5,4661103.5,2.190000057220459,"[2,5.5)",77574.83,PNOA-2024-GAL-554-4662-H29-NPC01
p0058,234,556703.5,4662079.5,5.449999809265137,"[2,5.5)",77574.83,PNOA-2024-GAL-556-4663-H29-NPC01
p0108,235,555077.5,4660330.5,6.210000038146973,"[5.5,8)",29787.58,PNOA-2024-GAL-555-4661-H29-NPC01
p0142,236,556422.5,4661913.5,6.449999809265137,"[5.5,8)",29787.58,PNOA-2024-GAL-556-4662-H29-NPC01
p0149,237,561236.5,4675140.5,6.449999809265137,"[5.5,8)",29787.58,PNOA-2024-GAL-561-4676-H29-NPC01
p0091,238,556536.5,4662735.5,2.259999990463257,"[2,5.5)",77574.83,PNOA-2024-GAL-556-4663-H29-NPC01
p0028,239,560270.5,4672964.5,0.5099999904632568,"[0,2)",287125.4,PNOA-2024-GAL-560-4673-H29-NPC01
p0068,240,558103.5,4665182.5,2.0199999809265137,"[2,5.5)",77574.83,PNOA-2024-GAL-558-4666-H29-NPC01
p0150,241,564853.5,4665995.5,6.570000171661377,"[5.5,8)",29787.58,PNOA-2024-GAL-564-4666-H29-NPC01
p0126,242,555076.5,4662603.5,6.409999847412109,"[5.5,8)",29787.58,PNOA-2024-GAL-555-4663-H29-NPC01
p0026,243,563859.5,4666495.5,0.1899999976158142,"[0,2)",287125.4,PNOA-2024-GAL-563-4667-H29-NPC01
p0089,244,553025.5,4671612.5,4.710000038146973,"[2,5.5)",77574.83,PNOA-2024-GAL-553-4672-H29-NPC01
p0247,245,557067.5,4667751.5,35.90999984741211,"[35,inf)",10402.6,PNOA-2024-GAL-557-4668-H29-NPC01
p0203,246,562738.5,4671459.5,8.40999984741211,"[8,15)",100390.24,PNOA-2024-GAL-562-4672-H29-NPC01
p0043,247,560941.5,4665066.5,2.109999895095825,"[2,5.5)",77574.83,PNOA-2024-GAL-560-4666-H29-NPC01
p0111,248,550252.5,4677784.5,7.630000114440918,"[5.5,8)",29787.58,PNOA-2024-GAL-550-4678-H29-NPC01
p0074,249,556493.5,4662687.5,2.0199999809265137,"[2,5.5)",77574.83,PNOA-2024-GAL-556-4663-H29-NPC01
